"concentration","value","compound"
0.806179973983887,0.097,"195_BW WT"
0.806179973983887,0.102,"195_BW WT"
0.806179973983887,0.1,"195_BW WT"
0.806179973983887,0.053,"195_BW tolC"
0.806179973983887,0.052,"195_BW tolC"
0.806179973983887,0.051,"195_BW tolC"
0.806179973983887,0.045,"Blank"
0.329058719264225,0.103,"195_BW WT"
0.329058719264225,0.102,"195_BW WT"
0.329058719264225,0.105,"195_BW WT"
0.329058719264225,0.052,"195_BW tolC"
0.329058719264225,0.048,"195_BW tolC"
0.329058719264225,0.05,"195_BW tolC"
0.329058719264225,0.043,"Blank"
-0.148062535455438,0.115,"195_BW WT"
-0.148062535455438,0.137,"195_BW WT"
-0.148062535455438,0.125,"195_BW WT"
-0.148062535455438,0.05,"195_BW tolC"
-0.148062535455438,0.05,"195_BW tolC"
-0.148062535455438,0.051,"195_BW tolC"
-0.148062535455438,0.043,"Blank"
-0.6251837901751,0.354,"195_BW WT"
-0.6251837901751,0.407,"195_BW WT"
-0.6251837901751,0.395,"195_BW WT"
-0.6251837901751,0.051,"195_BW tolC"
-0.6251837901751,0.052,"195_BW tolC"
-0.6251837901751,0.053,"195_BW tolC"
-0.6251837901751,0.044,"Blank"
-1.10230504489476,0.475,"195_BW WT"
-1.10230504489476,0.498,"195_BW WT"
-1.10230504489476,0.457,"195_BW WT"
-1.10230504489476,0.06,"195_BW tolC"
-1.10230504489476,0.057,"195_BW tolC"
-1.10230504489476,0.059,"195_BW tolC"
-1.10230504489476,0.043,"Blank"
-1.57942629961443,0.464,"195_BW WT"
-1.57942629961443,0.483,"195_BW WT"
-1.57942629961443,0.468,"195_BW WT"
-1.57942629961443,0.098,"195_BW tolC"
-1.57942629961443,0.108,"195_BW tolC"
-1.57942629961443,0.119,"195_BW tolC"
-1.57942629961443,0.043,"Blank"
-2.05654755433409,0.483,"195_BW WT"
-2.05654755433409,0.511,"195_BW WT"
-2.05654755433409,0.447,"195_BW WT"
-2.05654755433409,0.125,"195_BW tolC"
-2.05654755433409,0.137,"195_BW tolC"
-2.05654755433409,0.136,"195_BW tolC"
-2.05654755433409,0.044,"Blank"
-2.53366880905375,0.479,"195_BW WT"
-2.53366880905375,0.492,"195_BW WT"
-2.53366880905375,0.489,"195_BW WT"
-2.53366880905375,0.268,"195_BW tolC"
-2.53366880905375,0.293,"195_BW tolC"
-2.53366880905375,0.348,"195_BW tolC"
-2.53366880905375,0.046,"Blank"
-3.01079006377341,0.472,"195_BW WT"
-3.01079006377341,0.495,"195_BW WT"
-3.01079006377341,0.477,"195_BW WT"
-3.01079006377341,0.565,"195_BW tolC"
-3.01079006377341,0.562,"195_BW tolC"
-3.01079006377341,0.555,"195_BW tolC"
-3.01079006377341,0.046,"Blank"
-3.48791131849308,0.478,"195_BW WT"
-3.48791131849308,0.472,"195_BW WT"
-3.48791131849308,0.479,"195_BW WT"
-3.48791131849308,0.551,"195_BW tolC"
-3.48791131849308,0.572,"195_BW tolC"
-3.48791131849308,0.554,"195_BW tolC"
-3.48791131849308,0.044,"Blank"
-3.96503257321274,0.468,"195_BW WT"
-3.96503257321274,0.504,"195_BW WT"
-3.96503257321274,0.48,"195_BW WT"
-3.96503257321274,0.551,"195_BW tolC"
-3.96503257321274,0.564,"195_BW tolC"
-3.96503257321274,0.547,"195_BW tolC"
-3.96503257321274,0.044,"Blank"
-Inf,0.456,"195_BW WT"
-Inf,0.483,"195_BW WT"
-Inf,0.458,"195_BW WT"
-Inf,0.538,"195_BW tolC"
-Inf,0.522,"195_BW tolC"
-Inf,0.534,"195_BW tolC"
-Inf,0.045,"Blank"
