"concentration","value","compound"
4.4929139708484,0.089599996805191,"PK-II-113a"
4.4929139708484,0.0865999981760979,"PK-II-113a"
4.47173165148005,0.0718000009655952,"PK-II-121b"
4.47173165148005,0.0540000014007092,"PK-II-121b"
-Inf,1.78090000152588,"MeOH"
-Inf,1.74520003795624,"MeOH"
-Inf,0.0478999987244606,"Blank"
4.01577875638904,0.130700007081032,"PK-II-113a"
4.01577875638904,0.115599997341633,"PK-II-113a"
3.9946250537686,0.066600002348423,"PK-II-121b"
3.9946250537686,0.0640999972820282,"PK-II-121b"
-Inf,1.66919994354248,"MeOH"
-Inf,1.62119996547699,"MeOH"
-Inf,0.0463000014424324,"Blank"
3.53869937954241,0.427100002765656,"PK-II-113a"
3.53869937954241,0.416999995708466,"PK-II-113a"
3.51745982654023,0.148499995470047,"PK-II-121b"
3.51745982654023,0.149100005626678,"PK-II-121b"
-Inf,1.66219997406006,"MeOH"
-Inf,1.71780002117157,"MeOH"
-Inf,0.0494000017642975,"Blank"
3.06145247908719,1.35000002384186,"PK-II-113a"
3.06145247908719,1.2992000579834,"PK-II-113a"
3.04020662757471,0.370099991559982,"PK-II-121b"
3.04020662757471,0.345400005578995,"PK-II-121b"
-Inf,1.64530003070831,"MeOH"
-Inf,1.60239994525909,"MeOH"
-Inf,0.0489999987185001,"Blank"
2.58444430716518,1.50750005245209,"PK-II-113a"
2.58444430716518,1.50619995594025,"PK-II-113a"
2.5632437011404,1.25999999046326,"PK-II-121b"
2.5632437011404,1.35679996013641,"PK-II-121b"
-Inf,1.6003999710083,"MeOH"
-Inf,1.6224000453949,"MeOH"
-Inf,0.050500001758337,"Blank"
2.10720996964787,1.89690005779266,"PK-II-113a"
2.10720996964787,1.6628999710083,"PK-II-113a"
2.08600370561838,1.57509994506836,"PK-II-121b"
2.08600370561838,1.65170001983643,"PK-II-121b"
-Inf,1.74399995803833,"MeOH"
-Inf,1.70790004730225,"MeOH"
-Inf,0.0518000014126301,"Blank"
1.63022441075243,1.72850000858307,"PK-II-113a"
1.63022441075243,1.60269999504089,"PK-II-113a"
1.60895369927586,1.54729998111725,"PK-II-121b"
1.60895369927586,1.61629998683929,"PK-II-121b"
-Inf,1.81029999256134,"MeOH"
-Inf,1.84619998931885,"MeOH"
-Inf,0.047800000756979,"Blank"
1.15320490008428,1.64830005168915,"PK-II-113a"
1.15320490008428,1.62860000133514,"PK-II-113a"
1.13193929521042,1.60109996795654,"PK-II-121b"
1.13193929521042,1.55209994316101,"PK-II-121b"
-Inf,1.708899974823,"MeOH"
-Inf,1.61220002174377,"MeOH"
-Inf,0.0493000000715256,"Blank"
3.67596154964217,1.77250003814697,"PK-II-113a"
3.67596154964217,1.70930004119873,"PK-II-113a"
3.65475393325293,1.78550004959106,"PK-II-121b"
3.65475393325293,1.72580003738403,"PK-II-121b"
-Inf,1.73479998111725,"MeOH"
-Inf,1.84800004959106,"MeOH"
-Inf,0.0511999987065792,"Blank"
3.19893186993221,1.80299997329712,"PK-II-113a"
3.19893186993221,1.82089996337891,"PK-II-113a"
3.18069920129603,1.77049994468689,"PK-II-121b"
3.18069920129603,1.70729994773865,"PK-II-121b"
-Inf,1.7253999710083,"MeOH"
-Inf,1.68009996414185,"MeOH"
-Inf,0.047800000756979,"Blank"
-0.278189384787453,1.93210005760193,"PK-II-113a"
-0.278189384787453,1.83000004291534,"PK-II-113a"
-0.301029995663981,1.72449994087219,"PK-II-121b"
-0.301029995663981,1.87779998779297,"PK-II-121b"
-Inf,1.96969997882843,"MeOH"
-Inf,1.87090003490448,"MeOH"
-Inf,0.0461999997496605,"Blank"
