"concentration","value","compound"
4.56863623584101,0.0590999983251095,"Ouabain"
4.56863623584101,0.0592000000178814,"Ouabain"
2.56863623584101,0.0612000003457069,"Thapsigargin"
2.56863623584101,0.0586000010371208,"Thapsigargin"
-Inf,0.209900006651878,"MeOH"
-Inf,0.318500012159348,"MeOH"
-Inf,0.0518000014126301,"Blank"
4.09151498112135,0.0562999993562698,"Ouabain"
4.09151498112135,0.0577999986708164,"Ouabain"
2.09151498112135,0.068400003015995,"Thapsigargin"
2.09151498112135,0.0703999996185303,"Thapsigargin"
-Inf,0.466699987649918,"MeOH"
-Inf,0.460999995470047,"MeOH"
-Inf,0.0491999983787537,"Blank"
3.61439372640169,0.0524999983608723,"Ouabain"
3.61439372640169,0.0559000000357628,"Ouabain"
1.61439372640169,0.070200003683567,"Thapsigargin"
1.61439372640169,0.0737000033259392,"Thapsigargin"
-Inf,0.513499975204468,"MeOH"
-Inf,0.482600003480911,"MeOH"
-Inf,0.0504000000655651,"Blank"
3.13727247168203,0.0542000010609627,"Ouabain"
3.13727247168203,0.0557999983429909,"Ouabain"
1.13727247168203,0.0806000009179115,"Thapsigargin"
1.13727247168203,0.0816000029444695,"Thapsigargin"
-Inf,0.588800013065338,"MeOH"
-Inf,0.477299988269806,"MeOH"
-Inf,0.0483000017702579,"Blank"
2.66015121696236,0.0571000017225742,"Ouabain"
2.66015121696236,0.0562000013887882,"Ouabain"
0.660151216962363,0.0716999992728233,"Thapsigargin"
0.660151216962363,0.0754000023007393,"Thapsigargin"
-Inf,0.578299999237061,"MeOH"
-Inf,0.48539999127388,"MeOH"
-Inf,0.0476000010967255,"Blank"
2.1830299622427,0.0564999990165234,"Ouabain"
2.1830299622427,0.0573999993503094,"Ouabain"
0.1830299622427,0.0750000029802322,"Thapsigargin"
0.1830299622427,0.0763000026345253,"Thapsigargin"
-Inf,0.579900026321411,"MeOH"
-Inf,0.483599990606308,"MeOH"
-Inf,0.0478999987244606,"Blank"
1.70590870752304,0.0623000003397465,"Ouabain"
1.70590870752304,0.062899999320507,"Ouabain"
-0.294091292476962,0.55620002746582,"Thapsigargin"
-0.294091292476962,0.500299990177155,"Thapsigargin"
-Inf,0.517799973487854,"MeOH"
-Inf,0.451200008392334,"MeOH"
-Inf,0.0469999983906746,"Blank"
1.22878745280338,0.0758000016212463,"Ouabain"
1.22878745280338,0.090999998152256,"Ouabain"
-0.771212547196624,0.598699986934662,"Thapsigargin"
-0.771212547196624,0.492700010538101,"Thapsigargin"
-Inf,0.516499996185303,"MeOH"
-Inf,0.493499994277954,"MeOH"
-Inf,0.0483000017702579,"Blank"
0.751666198083713,0.367399990558624,"Ouabain"
0.751666198083713,0.415399998426437,"Ouabain"
-1.24833380191629,0.550300002098083,"Thapsigargin"
-1.24833380191629,0.511300027370453,"Thapsigargin"
-Inf,0.51010000705719,"MeOH"
-Inf,0.478199988603592,"MeOH"
-Inf,0.049600001424551,"Blank"
0.274544943364051,0.513999998569489,"Ouabain"
0.274544943364051,0.523100018501282,"Ouabain"
-1.72545505663595,0.539699971675873,"Thapsigargin"
-1.72545505663595,0.548799991607666,"Thapsigargin"
-Inf,0.484499990940094,"MeOH"
-Inf,0.500599980354309,"MeOH"
-Inf,0.0472999997437,"Blank"
-0.202576311355612,0.502699971199036,"Ouabain"
-0.202576311355612,0.475899994373322,"Ouabain"
-2.20257631135561,0.441100001335144,"Thapsigargin"
-2.20257631135561,0.458200007677078,"Thapsigargin"
-Inf,0.487100005149841,"MeOH"
-Inf,0.485799998044968,"MeOH"
-Inf,0.0447000004351139,"Blank"
