"concentration","value","compound"
2,0.003,"E coli"
2,0.001,"E coli"
2,0.001,"E coli"
2,0.001,"P aeruginosa"
2,0.001,"P aeruginosa"
2,0.004,"P aeruginosa"
NA,0,NA
1.52287874528034,-0.001,"E coli"
1.52287874528034,-0.001,"E coli"
1.52287874528034,-0.001,"E coli"
1.52287874528034,-0.001,"P aeruginosa"
1.52287874528034,-0.001,"P aeruginosa"
1.52287874528034,-0.001,"P aeruginosa"
NA,0,NA
1.04575749056068,0.003,"E coli"
1.04575749056068,0.001,"E coli"
1.04575749056068,0.003,"E coli"
1.04575749056068,0.005,"P aeruginosa"
1.04575749056068,0.004,"P aeruginosa"
1.04575749056068,0.004,"P aeruginosa"
NA,0,NA
0.568636235841013,0.001,"E coli"
0.568636235841013,0.001,"E coli"
0.568636235841013,0.003,"E coli"
0.568636235841013,0.00700000000000001,"P aeruginosa"
0.568636235841013,0.00600000000000001,"P aeruginosa"
0.568636235841013,0.00600000000000001,"P aeruginosa"
NA,0,NA
0.0915149811213503,0.004,"E coli"
0.0915149811213503,0.004,"E coli"
0.0915149811213503,0.005,"E coli"
0.0915149811213503,0.002,"P aeruginosa"
0.0915149811213503,0.003,"P aeruginosa"
0.0915149811213503,0.017,"P aeruginosa"
NA,0,NA
-0.385606273598312,0.00700000000000001,"E coli"
-0.385606273598312,0.005,"E coli"
-0.385606273598312,0.00600000000000001,"E coli"
-0.385606273598312,0.207,"P aeruginosa"
-0.385606273598312,0.061,"P aeruginosa"
-0.385606273598312,0.005,"P aeruginosa"
NA,0,NA
-0.862727528317975,0.013,"E coli"
-0.862727528317975,0.013,"E coli"
-0.862727528317975,0.011,"E coli"
-0.862727528317975,0.69,"P aeruginosa"
-0.862727528317975,0.703,"P aeruginosa"
-0.862727528317975,0.663,"P aeruginosa"
NA,0,NA
-1.33984878303764,0.042,"E coli"
-1.33984878303764,0.034,"E coli"
-1.33984878303764,0.037,"E coli"
-1.33984878303764,0.657,"P aeruginosa"
-1.33984878303764,0.66,"P aeruginosa"
-1.33984878303764,0.646,"P aeruginosa"
NA,0,NA
-1.8169700377573,0.176,"E coli"
-1.8169700377573,0.171,"E coli"
-1.8169700377573,0.186,"E coli"
-1.8169700377573,0.563,"P aeruginosa"
-1.8169700377573,0.623,"P aeruginosa"
-1.8169700377573,0.576,"P aeruginosa"
NA,0,NA
-2.29409129247696,0.385,"E coli"
-2.29409129247696,0.372,"E coli"
-2.29409129247696,0.342,"E coli"
-2.29409129247696,0.565,"P aeruginosa"
-2.29409129247696,0.59,"P aeruginosa"
-2.29409129247696,0.578,"P aeruginosa"
NA,0,NA
-2.77121254719662,0.374,"E coli"
-2.77121254719662,0.369,"E coli"
-2.77121254719662,0.336,"E coli"
-2.77121254719662,0.579,"P aeruginosa"
-2.77121254719662,0.589,"P aeruginosa"
-2.77121254719662,0.566,"P aeruginosa"
NA,0,NA
-Inf,0.434,"E coli"
-Inf,0.356,"E coli"
-Inf,0.354,"E coli"
-Inf,0.621,"P aeruginosa"
-Inf,0.622,"P aeruginosa"
-Inf,0.633,"P aeruginosa"
NA,0,NA
