"concentration","value","compound"
2,0.014,"E coli"
2,0.011,"E coli"
2,0.011,"E coli"
2,0.013,"P aeruginosa"
2,0.013,"P aeruginosa"
2,0.077,"P aeruginosa"
NA,0,NA
1.52287874528034,0.014,"E coli"
1.52287874528034,0.013,"E coli"
1.52287874528034,0.014,"E coli"
1.52287874528034,0.668,"P aeruginosa"
1.52287874528034,0.609,"P aeruginosa"
1.52287874528034,0.846,"P aeruginosa"
NA,0,NA
1.04575749056068,0.099,"E coli"
1.04575749056068,0.087,"E coli"
1.04575749056068,0.093,"E coli"
1.04575749056068,0.769,"P aeruginosa"
1.04575749056068,0.66,"P aeruginosa"
1.04575749056068,0.646,"P aeruginosa"
NA,0,NA
0.568636235841013,0.229,"E coli"
0.568636235841013,0.24,"E coli"
0.568636235841013,0.227,"E coli"
0.568636235841013,0.551,"P aeruginosa"
0.568636235841013,0.576,"P aeruginosa"
0.568636235841013,0.597,"P aeruginosa"
NA,0,NA
0.0915149811213503,0.33,"E coli"
0.0915149811213503,0.302,"E coli"
0.0915149811213503,0.283,"E coli"
0.0915149811213503,0.566,"P aeruginosa"
0.0915149811213503,0.577,"P aeruginosa"
0.0915149811213503,0.585,"P aeruginosa"
NA,0,NA
-0.385606273598312,0.357,"E coli"
-0.385606273598312,0.324,"E coli"
-0.385606273598312,0.321,"E coli"
-0.385606273598312,0.558,"P aeruginosa"
-0.385606273598312,0.577,"P aeruginosa"
-0.385606273598312,0.582,"P aeruginosa"
NA,0,NA
-0.862727528317975,0.363,"E coli"
-0.862727528317975,0.306,"E coli"
-0.862727528317975,0.305,"E coli"
-0.862727528317975,0.545,"P aeruginosa"
-0.862727528317975,0.557,"P aeruginosa"
-0.862727528317975,0.578,"P aeruginosa"
NA,0,NA
-1.33984878303764,0.375,"E coli"
-1.33984878303764,0.307,"E coli"
-1.33984878303764,0.284,"E coli"
-1.33984878303764,0.586,"P aeruginosa"
-1.33984878303764,0.586,"P aeruginosa"
-1.33984878303764,0.586,"P aeruginosa"
NA,0,NA
-1.8169700377573,0.335,"E coli"
-1.8169700377573,0.294,"E coli"
-1.8169700377573,0.289,"E coli"
-1.8169700377573,0.552,"P aeruginosa"
-1.8169700377573,0.612,"P aeruginosa"
-1.8169700377573,0.58,"P aeruginosa"
NA,0,NA
-2.29409129247696,0.361,"E coli"
-2.29409129247696,0.326,"E coli"
-2.29409129247696,0.307,"E coli"
-2.29409129247696,0.542,"P aeruginosa"
-2.29409129247696,0.571,"P aeruginosa"
-2.29409129247696,0.567,"P aeruginosa"
NA,0,NA
-2.77121254719662,0.37,"E coli"
-2.77121254719662,0.319,"E coli"
-2.77121254719662,0.319,"E coli"
-2.77121254719662,0.551,"P aeruginosa"
-2.77121254719662,0.569,"P aeruginosa"
-2.77121254719662,0.578,"P aeruginosa"
NA,0,NA
-Inf,0.33,"E coli"
-Inf,0.354,"E coli"
-Inf,0.327,"E coli"
-Inf,0.601,"P aeruginosa"
-Inf,0.615,"P aeruginosa"
-Inf,0.632,"P aeruginosa"
NA,0,NA
