"concentration","value","compound"
2,145.801473034966,"AO-990/37423001"
2,137.418852656783,"AO-990/37423001"
2,140.751701360169,"AO-990/37423001"
2,141.559664226156,"AO-990/37423008"
2,149.235318977788,"AO-990/37423008"
2,144.488539021302,"AO-990/37423008"
2,121.057570759152,"ß-Lapachon LOPAC"
2,123.885448314861,"ß-Lapachon LOPAC"
2,136.50989255136,"ß-Lapachon LOPAC"
2,-8.31743919386486,"Staurosporine"
2,-8.78182185360882,"Staurosporine"
2,14.7092760483177,"Auranofin"
2,15.7192333931784,"Auranofin"
2,16.7291907380391,"Auranofin"
1.69897000433602,131.461990936964,"AO-990/37423001"
1.69897000433602,131.148564446656,"AO-990/37423001"
1.69897000433602,136.633843298465,"AO-990/37423001"
1.69897000433602,122.842272031287,"AO-990/37423008"
1.69897000433602,125.898361300938,"AO-990/37423008"
1.69897000433602,119.786182761636,"AO-990/37423008"
1.69897000433602,144.156499427749,"ß-Lapachon LOPAC"
1.69897000433602,111.793351866733,"ß-Lapachon LOPAC"
1.69897000433602,124.487860357517,"ß-Lapachon LOPAC"
1.69897000433602,4.80139040598762,"Staurosporine"
1.69897000433602,6.42673403999939,"Staurosporine"
1.69897000433602,8.19993585477845,"Auranofin"
1.69897000433602,8.98354294906581,"Auranofin"
1.69897000433602,6.47599090597111,"Auranofin"
1.39794000867204,120.004451709617,"AO-990/37423001"
1.39794000867204,119.194298134324,"AO-990/37423001"
1.39794000867204,118.32183362519,"AO-990/37423001"
1.39794000867204,110.656585844508,"AO-990/37423008"
1.39794000867204,110.282664523783,"AO-990/37423008"
1.39794000867204,105.608731591228,"AO-990/37423008"
1.39794000867204,98.8782592535219,"ß-Lapachon LOPAC"
1.39794000867204,131.533497420119,"ß-Lapachon LOPAC"
1.39794000867204,117.760960930381,"ß-Lapachon LOPAC"
1.39794000867204,-1.69997548024365,"Staurosporine"
1.39794000867204,0.273652986122142,"Staurosporine"
1.39794000867204,4.90095526495486,"Auranofin"
1.39794000867204,6.52125777240017,"Auranofin"
1.39794000867204,5.96038507759131,"Auranofin"
1.09691001300806,110.328270671609,"AO-990/37423001"
1.09691001300806,111.102284550336,"AO-990/37423001"
1.09691001300806,122.760876708314,"AO-990/37423001"
1.09691001300806,109.31236574184,"AO-990/37423008"
1.09691001300806,112.166544622863,"AO-990/37423008"
1.09691001300806,108.876982033983,"AO-990/37423008"
1.09691001300806,115.069107480957,"ß-Lapachon LOPAC"
1.09691001300806,109.796133426767,"ß-Lapachon LOPAC"
1.09691001300806,112.069791085877,"ß-Lapachon LOPAC"
1.09691001300806,-3.67360394660944,"Staurosporine"
1.09691001300806,-2.62874079973158,"Staurosporine"
1.09691001300806,1.38562621343864,"Auranofin"
1.09691001300806,1.57912968312043,"Auranofin"
1.09691001300806,1.77263315280222,"Auranofin"
0.795880017344075,113.391162851187,"AO-990/37423001"
0.795880017344075,114.636858534202,"AO-990/37423001"
0.795880017344075,114.896373956511,"AO-990/37423001"
0.795880017344075,106.176535112452,"AO-990/37423008"
0.795880017344075,109.446472745409,"AO-990/37423008"
0.795880017344075,90.2939963637589,"AO-990/37423008"
0.795880017344075,99.2733351616023,"ß-Lapachon LOPAC"
0.795880017344075,93.8753463160763,"ß-Lapachon LOPAC"
0.795880017344075,92.7853722612654,"ß-Lapachon LOPAC"
0.795880017344075,-2.04826031259768,"Staurosporine"
0.795880017344075,0.970231300645978,"Staurosporine"
0.795880017344075,3.30330379104955,"Auranofin"
0.795880017344075,3.82234236992887,"Auranofin"
0.795880017344075,3.35520842236367,"Auranofin"
0.494850021680094,95.7832653076967,"AO-990/37423001"
0.494850021680094,98.330880078094,"AO-990/37423001"
0.494850021680094,96.4860533322082,"AO-990/37423001"
0.494850021680094,97.144922832268,"AO-990/37423008"
0.494850021680094,98.6383490206634,"AO-990/37423008"
0.494850021680094,107.554987626585,"AO-990/37423008"
0.494850021680094,93.0599633490236,"ß-Lapachon LOPAC"
0.494850021680094,98.330880078094,"ß-Lapachon LOPAC"
0.494850021680094,92.7524944064542,"ß-Lapachon LOPAC"
0.494850021680094,-21.2040817887532,"Staurosporine"
0.494850021680094,-16.0958638817539,"Staurosporine"
0.494850021680094,6.66081086340645,"Auranofin"
0.494850021680094,7.62714603341833,"Auranofin"
0.494850021680094,6.17764164209185,"Auranofin"
0.193820026016113,113.599305165628,"AO-990/37423001"
0.193820026016113,111.143243635144,"AO-990/37423001"
0.193820026016113,95.5427106788658,"AO-990/37423001"
0.193820026016113,96.1339877632132,"AO-990/37423008"
0.193820026016113,111.461620475591,"AO-990/37423008"
0.193820026016113,106.36756391869,"AO-990/37423008"
0.193820026016113,99.2722795711388,"ß-Lapachon LOPAC"
0.193820026016113,94.9059569979713,"ß-Lapachon LOPAC"
0.193820026016113,91.5402415426928,"ß-Lapachon LOPAC"
0.193820026016113,-41.288659934581,"Staurosporine"
0.193820026016113,-46.629082146176,"Staurosporine"
0.193820026016113,89.5844903485896,"Auranofin"
0.193820026016113,100.045490151419,"Auranofin"
0.193820026016113,86.4916751372112,"Auranofin"
-0.107209969647868,93.8113347401394,"AO-990/37423001"
-0.107209969647868,95.2848280370145,"AO-990/37423001"
-0.107209969647868,84.7493696275664,"AO-990/37423001"
-0.107209969647868,101.105114483477,"AO-990/37423008"
-0.107209969647868,91.6747815358646,"AO-990/37423008"
-0.107209969647868,96.2057586029719,"AO-990/37423008"
-0.107209969647868,101.289298400997,"ß-Lapachon LOPAC"
-0.107209969647868,101.362974163677,"ß-Lapachon LOPAC"
-0.107209969647868,104.309960757427,"ß-Lapachon LOPAC"
-0.107209969647868,-28.8664086492523,"Staurosporine"
-0.107209969647868,-34.4390092159957,"Staurosporine"
-0.107209969647868,110.314431121409,"Auranofin"
-0.107209969647868,114.624391878836,"Auranofin"
-0.107209969647868,102.504932017673,"Auranofin"
-0.40823996531185,88.8919939197349,"AO-990/37423001"
-0.40823996531185,94.1422571147042,"AO-990/37423001"
-0.40823996531185,78.3480567262026,"AO-990/37423001"
-0.40823996531185,74.7466281821213,"AO-990/37423008"
-0.40823996531185,91.1483082609495,"AO-990/37423008"
-0.40823996531185,106.50860751636,"AO-990/37423008"
