"concentration","value","compound"
2,-0.043,"M8 / 5-epi Aureol"
2,-0.117,"M8 / 5-epi Aureol"
2,-0.04,"M9 / epi-AR652"
2,-0.025,"M9 / epi-AR652"
2,-0.005,"M10 / smenoqualone"
2,-0.004,"M10 / smenoqualone"
2,0.245,"M11 / epi-cyclosmenospongine"
2,0.271,"M11 / epi-cyclosmenospongine"
2,-0.00600000000000001,"M14 / AR956"
2,-0.00700000000000001,"M14 / AR956"
2,-0.004,"M15 / AR981"
2,-0.00699999999999999,"M15 / AR981"
0.698970004336019,-0.00499999999999999,"Linezolid"
0.698970004336019,0.003,"Linezolid"
1.69897000433602,-0.185,"M8 / 5-epi Aureol"
1.69897000433602,-0.202,"M8 / 5-epi Aureol"
1.69897000433602,-0.014,"M9 / epi-AR652"
1.69897000433602,0.088,"M9 / epi-AR652"
1.69897000433602,-0.004,"M10 / smenoqualone"
1.69897000433602,-0.001,"M10 / smenoqualone"
1.69897000433602,0.31,"M11 / epi-cyclosmenospongine"
1.69897000433602,0.393,"M11 / epi-cyclosmenospongine"
1.69897000433602,0.001,"M14 / AR956"
1.69897000433602,-0.002,"M14 / AR956"
1.69897000433602,-0.002,"M15 / AR981"
1.69897000433602,0,"M15 / AR981"
0.397940008672038,-0.002,"Linezolid"
0.397940008672038,0.001,"Linezolid"
1.39794000867204,-0.00700000000000001,"M8 / 5-epi Aureol"
1.39794000867204,0.036,"M8 / 5-epi Aureol"
1.39794000867204,-0.005,"M9 / epi-AR652"
1.39794000867204,0.093,"M9 / epi-AR652"
1.39794000867204,0.054,"M10 / smenoqualone"
1.39794000867204,0.141,"M10 / smenoqualone"
1.39794000867204,0.447,"M11 / epi-cyclosmenospongine"
1.39794000867204,0.321,"M11 / epi-cyclosmenospongine"
1.39794000867204,-0.003,"M14 / AR956"
1.39794000867204,-0.00500000000000001,"M14 / AR956"
1.39794000867204,-0.001,"M15 / AR981"
1.39794000867204,0,"M15 / AR981"
0.0969100130080564,-0.005,"Linezolid"
0.0969100130080564,0,"Linezolid"
1.09691001300806,0.036,"M8 / 5-epi Aureol"
1.09691001300806,-0.00600000000000001,"M8 / 5-epi Aureol"
1.09691001300806,0.000999999999999987,"M9 / epi-AR652"
1.09691001300806,0.003,"M9 / epi-AR652"
1.09691001300806,0.319,"M10 / smenoqualone"
1.09691001300806,0.353,"M10 / smenoqualone"
1.09691001300806,0.298,"M11 / epi-cyclosmenospongine"
1.09691001300806,0.247,"M11 / epi-cyclosmenospongine"
1.09691001300806,-0.00199999999999999,"M14 / AR956"
1.09691001300806,0.00199999999999999,"M14 / AR956"
1.09691001300806,0.00399999999999999,"M15 / AR981"
1.09691001300806,0.336,"M15 / AR981"
-0.204119982655925,-0.002,"Linezolid"
-0.204119982655925,-0.002,"Linezolid"
0.795880017344075,0.072,"M8 / 5-epi Aureol"
0.795880017344075,0.07,"M8 / 5-epi Aureol"
0.795880017344075,0.032,"M9 / epi-AR652"
0.795880017344075,0.01,"M9 / epi-AR652"
0.795880017344075,0.304,"M10 / smenoqualone"
0.795880017344075,0.236,"M10 / smenoqualone"
0.795880017344075,0.226,"M11 / epi-cyclosmenospongine"
0.795880017344075,0.356,"M11 / epi-cyclosmenospongine"
0.795880017344075,0.541,"M14 / AR956"
0.795880017344075,0.499,"M14 / AR956"
0.795880017344075,0.554,"M15 / AR981"
0.795880017344075,0.515,"M15 / AR981"
-0.505149978319906,-0.00599999999999999,"Linezolid"
-0.505149978319906,-0.001,"Linezolid"
0.494850021680094,0.061,"M8 / 5-epi Aureol"
0.494850021680094,0.033,"M8 / 5-epi Aureol"
0.494850021680094,0.021,"M9 / epi-AR652"
0.494850021680094,0.012,"M9 / epi-AR652"
0.494850021680094,0.456,"M10 / smenoqualone"
0.494850021680094,0.394,"M10 / smenoqualone"
0.494850021680094,0.244,"M11 / epi-cyclosmenospongine"
0.494850021680094,0.39,"M11 / epi-cyclosmenospongine"
0.494850021680094,0.517,"M14 / AR956"
0.494850021680094,0.403,"M14 / AR956"
0.494850021680094,0.605,"M15 / AR981"
0.494850021680094,0.502,"M15 / AR981"
-0.806179973983887,-0.00299999999999999,"Linezolid"
-0.806179973983887,0,"Linezolid"
0.193820026016113,0.094,"M8 / 5-epi Aureol"
0.193820026016113,0.181,"M8 / 5-epi Aureol"
0.193820026016113,0.191,"M9 / epi-AR652"
0.193820026016113,0.199,"M9 / epi-AR652"
0.193820026016113,0.498,"M10 / smenoqualone"
0.193820026016113,0.238,"M10 / smenoqualone"
0.193820026016113,0.225,"M11 / epi-cyclosmenospongine"
0.193820026016113,0.258,"M11 / epi-cyclosmenospongine"
0.193820026016113,0.515,"M14 / AR956"
0.193820026016113,0.502,"M14 / AR956"
0.193820026016113,0.612,"M15 / AR981"
0.193820026016113,0.504,"M15 / AR981"
-1.10720996964787,0.104,"Linezolid"
-1.10720996964787,0.139,"Linezolid"
-0.107209969647868,0.095,"M8 / 5-epi Aureol"
-0.107209969647868,0.216,"M8 / 5-epi Aureol"
-0.107209969647868,0.318,"M9 / epi-AR652"
-0.107209969647868,0.556,"M9 / epi-AR652"
-0.107209969647868,0.258,"M10 / smenoqualone"
-0.107209969647868,0.347,"M10 / smenoqualone"
-0.107209969647868,0.357,"M11 / epi-cyclosmenospongine"
-0.107209969647868,0.266,"M11 / epi-cyclosmenospongine"
-0.107209969647868,0.509,"M14 / AR956"
-0.107209969647868,0.698,"M14 / AR956"
-0.107209969647868,0.507,"M15 / AR981"
-0.107209969647868,0.497,"M15 / AR981"
-1.40823996531185,0.271,"Linezolid"
-1.40823996531185,0.375,"Linezolid"
-0.40823996531185,0.249,"M8 / 5-epi Aureol"
-0.40823996531185,0.278,"M8 / 5-epi Aureol"
-0.40823996531185,0.353,"M9 / epi-AR652"
-0.40823996531185,0.211,"M9 / epi-AR652"
-0.40823996531185,0.41,"M10 / smenoqualone"
-0.40823996531185,0.391,"M10 / smenoqualone"
-0.40823996531185,0.367,"M11 / epi-cyclosmenospongine"
-0.40823996531185,0.431,"M11 / epi-cyclosmenospongine"
-0.40823996531185,0.505,"M14 / AR956"
-0.40823996531185,0.492,"M14 / AR956"
-0.40823996531185,0.501,"M15 / AR981"
-0.40823996531185,0.493,"M15 / AR981"
-1.70926996097583,0.295,"Linezolid"
-1.70926996097583,0.366,"Linezolid"
-0.709269960975831,0.258,"M8 / 5-epi Aureol"
-0.709269960975831,0.143,"M8 / 5-epi Aureol"
-0.709269960975831,0.223,"M9 / epi-AR652"
-0.709269960975831,0.279,"M9 / epi-AR652"
-0.709269960975831,0.418,"M10 / smenoqualone"
-0.709269960975831,0.409,"M10 / smenoqualone"
-0.709269960975831,0.276,"M11 / epi-cyclosmenospongine"
