"concentration","value","compound"
2.8750612633917,0.041,"Blank"
2.8750612633917,0.041,"kanamycin_PA14 WT"
2.8750612633917,0.041,"kanamycin_PA14 WT"
2.8750612633917,0.041,"kanamycin_PA14 WT"
2.39794000867204,0.041,"Blank"
2.39794000867204,0.087,"kanamycin_PA14 WT"
2.39794000867204,0.078,"kanamycin_PA14 WT"
2.39794000867204,0.08,"kanamycin_PA14 WT"
1.92081875395238,0.041,"Blank"
1.92081875395238,0.407,"kanamycin_PA14 WT"
1.92081875395238,0.411,"kanamycin_PA14 WT"
1.92081875395238,0.409,"kanamycin_PA14 WT"
1.44369749923271,0.041,"Blank"
1.44369749923271,0.46,"kanamycin_PA14 WT"
1.44369749923271,0.469,"kanamycin_PA14 WT"
1.44369749923271,0.476,"kanamycin_PA14 WT"
0.96657624451305,0.041,"Blank"
0.96657624451305,0.5,"kanamycin_PA14 WT"
0.96657624451305,0.481,"kanamycin_PA14 WT"
0.96657624451305,0.493,"kanamycin_PA14 WT"
0.489454989793388,0.041,"Blank"
0.489454989793388,0.501,"kanamycin_PA14 WT"
0.489454989793388,0.517,"kanamycin_PA14 WT"
0.489454989793388,0.497,"kanamycin_PA14 WT"
0.0123337350737253,0.041,"Blank"
0.0123337350737253,0.533,"kanamycin_PA14 WT"
0.0123337350737253,0.509,"kanamycin_PA14 WT"
0.0123337350737253,0.518,"kanamycin_PA14 WT"
-0.464787519645937,0.041,"Blank"
-0.464787519645937,0.526,"kanamycin_PA14 WT"
-0.464787519645937,0.506,"kanamycin_PA14 WT"
-0.464787519645937,0.512,"kanamycin_PA14 WT"
-0.9419087743656,0.041,"Blank"
-0.9419087743656,0.518,"kanamycin_PA14 WT"
-0.9419087743656,0.503,"kanamycin_PA14 WT"
-0.9419087743656,0.523,"kanamycin_PA14 WT"
-1.41903002908526,0.041,"Blank"
-1.41903002908526,0.538,"kanamycin_PA14 WT"
-1.41903002908526,0.509,"kanamycin_PA14 WT"
-1.41903002908526,0.538,"kanamycin_PA14 WT"
-1.89615128380492,0.041,"Blank"
-1.89615128380492,0.538,"kanamycin_PA14 WT"
-1.89615128380492,0.512,"kanamycin_PA14 WT"
-1.89615128380492,0.531,"kanamycin_PA14 WT"
-Inf,0.041,"Blank"
-Inf,0.541,"kanamycin_PA14 WT"
-Inf,0.547,"kanamycin_PA14 WT"
-Inf,0.514,"kanamycin_PA14 WT"
