"concentration","value","compound"
-Inf,"6KF63","6KF63"
-Inf,"A","A"
-Inf,"B","B"
-Inf,"C","C"
-Inf,"D","D"
-Inf,"E","E"
-Inf,"F","F"
-Inf,"G","G"
-Inf,"H","H"
-Inf,"WK 12","WK 12"
-Inf,"A","A"
-Inf,"B","B"
-Inf,"C","C"
-Inf,"D","D"
-Inf,"E","E"
-Inf,"F","F"
-Inf,"G","G"
-Inf,"H","H"
-Inf,"IS_84","IS_84"
-Inf,"A","A"
-Inf,"B","B"
-Inf,"C","C"
-Inf,"D","D"
-Inf,"E","E"
-Inf,"F","F"
-Inf,"G","G"
-Inf,"H","H"
-Inf,"Cip","Cip"
-Inf,"A","A"
-Inf,"B","B"
-Inf,"C","C"
-Inf,"D","D"
-Inf,"E","E"
-Inf,"F","F"
-Inf,"G","G"
-Inf,"H","H"
2,"100","100"
-0.269217724333611,"0.808","0"
-0.229884705212898,"0.859","0"
-0.436518914605589,"0.636","0"
-0.465973893943865,"0.612","0"
-Inf,"0.27","0"
2,"100","100"
-1.85387196432176,"0.076","0.014"
-1.95860731484178,"0.073","0.011"
-1.95860731484178,"0.073","0.011"
-1.88605664769316,"0.075","0.013"
-1.88605664769316,"0.075","0.013"
-1.11350927482752,"0.139","0.077"
-Inf,"0.062","0"
2,"100","100"
-0.756961951313706,"0.218","0.175"
-0.7594507517174,"0.217","0.174"
-0.75448733218585,"0.219","0.176"
-0.1944991418416,"0.682","0.639"
-0.18575240426808,"0.695","0.652"
-0.180456064458131,"0.703","0.66"
-Inf,"0.043","0"
2,"100","100"
-2.52287874528034,"0.047","0.003"
-3,"0.045","0.001"
-3,"0.045","0.001"
-3,"0.045","0.001"
-3,"0.045","0.001"
-2.39794000867204,"0.048","0.004"
-Inf,"0.044","0"
1.52287874528034,"33.3333333333333","33.3333333333333"
-0.835647144215563,"0.354","0.146"
-0.815308569182401,"0.361","0.153"
-0.856985199745905,"0.347","0.139"
-0.690369832574101,"0.412","0.204"
-0.701146923590293,"0.407","0.199"
-0.712198270069774,"0.402","0.194"
-Inf,"0.208","0"
1.52287874528034,"33.3333333333333","33.3333333333333"
-1.85387196432176,"0.059","0.014"
-1.88605664769316,"0.058","0.013"
-1.85387196432176,"0.059","0.014"
-0.175223537524454,"0.713","0.668"
-0.215382707367125,"0.654","0.609"
-0.0726296369609765,"0.891","0.846"
-Inf,"0.045","0"
1.52287874528034,"33.3333333333333","33.3333333333333"
-0.371611069949688,"0.468","0.425"
-0.386158178123931,"0.454","0.411"
-0.361510743045363,"0.478","0.435"
-0.22767829327708,"0.635","0.592"
-0.232102383981909,"0.629","0.586"
-0.234331445240986,"0.626","0.583"
-Inf,"0.043","0"
1.52287874528034,"33.3333333333333","33.3333333333333"
-Inf,"0.046","0"
1.04575749056067,"11.1111111111111","11.1111111111111"
-0.649751981665837,"0.319","0.224"
-0.671620396561262,"0.308","0.213"
-0.653647025549361,"0.317","0.222"
-0.492144128304169,"0.417","0.322"
-0.47755576649368,"0.428","0.333"
-0.438898616350944,"0.459","0.364"
-Inf,"0.095","0"
1.04575749056067,"11.1111111111111","11.1111111111111"
-1.00436480540245,"0.142","0.099"
-1.06048074738138,"0.13","0.087"
-1.03151705144606,"0.136","0.093"
-0.114073660198569,"0.812","0.769"
-0.180456064458131,"0.703","0.66"
-0.189767482004916,"0.689","0.646"
-Inf,"0.043","0"
1.04575749056067,"11.1111111111111","11.1111111111111"
-0.40340290437354,"0.438","0.395"
-0.402304814074488,"0.439","0.396"
-0.411168274405793,"0.431","0.388"
-0.254925208417943,"0.599","0.556"
-0.24184537803261,"0.616","0.573"
-0.235077015350112,"0.625","0.582"
-Inf,"0.043","0"
1.04575749056067,"11.1111111111111","11.1111111111111"
-2.52287874528034,"0.046","0.003"
-3,"0.044","0.001"
-2.52287874528034,"0.046","0.003"
-2.30102999566398,"0.048","0.005"
-2.39794000867204,"0.047","0.004"
-2.39794000867204,"0.047","0.004"
-Inf,"0.043","0"
0.568636235841012,"3.7037037037037","3.7037037037037"
-0.595166283380062,"0.322","0.254"
-0.621602099051862,"0.307","0.239"
-0.531652669587843,"0.362","0.294"
-0.322393047279507,"0.544","0.476"
-0.319664486585437,"0.547","0.479"
-0.302770657240282,"0.566","0.498"
-Inf,"0.068","0"
0.568636235841012,"3.7037037037037","3.7037037037037"
-0.640164517660112,"0.273","0.229"
-0.619788758288394,"0.284","0.24"
-0.643974142806877,"0.271","0.227"
-0.258848401148215,"0.595","0.551"
-0.239577516576788,"0.62","0.576"
-0.224025668870631,"0.641","0.597"
-Inf,"0.044","0"
0.568636235841012,"3.7037037037037","3.7037037037037"
-0.446116973356126,"0.401","0.358"
-0.444905551421681,"0.402","0.359"
-0.438898616350944,"0.407","0.364"
-0.257274868695302,"0.596","0.553"
-0.262012673666569,"0.59","0.547"
-0.238824186844269,"0.62","0.577"
-Inf,"0.043","0"
0.568636235841012,"3.7037037037037","3.7037037037037"
-3,"0.044","0.001"
-3,"0.044","0.001"
-2.52287874528034,"0.046","0.003"
-2.15490195998574,"0.05","0.00700000000000001"
-2.22184874961636,"0.049","0.00600000000000001"
-2.22184874961636,"0.049","0.00600000000000001"
-Inf,"0.043","0"
0.091514981121351,"1.23456790123457","1.23456790123457"
-0.387216143280265,"0.462","0.41"
-0.419075024324381,"0.433","0.381"
-0.425968732272281,"0.427","0.375"
-0.272458742971444,"0.586","0.534"
-0.265200170411153,"0.595","0.543"
-0.261219441515631,"0.6","0.548"
-Inf,"0.052","0"
0.091514981121351,"1.23456790123457","1.23456790123457"
-0.481486060122112,"0.374","0.33"
-0.519993057042849,"0.346","0.302"
-0.54821356447571,"0.327","0.283"
-0.247183568811729,"0.61","0.566"
-0.238824186844269,"0.621","0.577"
-0.23284413391782,"0.629","0.585"
-Inf,"0.044","0"
0.091514981121351,"1.23456790123457","1.23456790123457"
-0.454692883534176,"0.394","0.351"
-0.469800301796918,"0.382","0.339"
-0.471083299722345,"0.381","0.338"
-0.258060922270801,"0.595","0.552"
-0.24033215531037,"0.618","0.575"
-0.2518119729938,"0.603","0.56"
-Inf,"0.043","0"
0.091514981121351,"1.23456790123457","1.23456790123457"
-2.39794000867204,"0.047","0.004"
-2.39794000867204,"0.047","0.004"
-2.30102999566398,"0.048","0.005"
-2.69897000433602,"0.045","0.002"
-2.52287874528034,"0.046","0.003"
-1.76955107862173,"0.06","0.017"
-Inf,"0.043","0"
-0.385606273598312,"0.411522633744856","0.411522633744856"
-0.40340290437354,"0.443","0.395"
-0.492144128304169,"0.37","0.322"
-0.519993057042849,"0.35","0.302"
