"concentration","value","compound"
2,0,"E coli"
2,0,"E coli"
2,0,"E coli"
2,0,"P aeruginosa"
2,0,"P aeruginosa"
2,0,"P aeruginosa"
NA,0,NA
1.52287874528034,0.146,"E coli"
1.52287874528034,0.153,"E coli"
1.52287874528034,0.139,"E coli"
1.52287874528034,0.204,"P aeruginosa"
1.52287874528034,0.199,"P aeruginosa"
1.52287874528034,0.194,"P aeruginosa"
NA,0,NA
1.04575749056068,0.224,"E coli"
1.04575749056068,0.213,"E coli"
1.04575749056068,0.222,"E coli"
1.04575749056068,0.322,"P aeruginosa"
1.04575749056068,0.333,"P aeruginosa"
1.04575749056068,0.364,"P aeruginosa"
NA,0,NA
0.568636235841013,0.254,"E coli"
0.568636235841013,0.239,"E coli"
0.568636235841013,0.294,"E coli"
0.568636235841013,0.476,"P aeruginosa"
0.568636235841013,0.479,"P aeruginosa"
0.568636235841013,0.498,"P aeruginosa"
NA,0,NA
0.0915149811213503,0.41,"E coli"
0.0915149811213503,0.381,"E coli"
0.0915149811213503,0.375,"E coli"
0.0915149811213503,0.534,"P aeruginosa"
0.0915149811213503,0.543,"P aeruginosa"
0.0915149811213503,0.548,"P aeruginosa"
NA,0,NA
-0.385606273598312,0.395,"E coli"
-0.385606273598312,0.322,"E coli"
-0.385606273598312,0.302,"E coli"
-0.385606273598312,0.591,"P aeruginosa"
-0.385606273598312,0.591,"P aeruginosa"
-0.385606273598312,0.589,"P aeruginosa"
NA,0,NA
-0.862727528317975,0.361,"E coli"
-0.862727528317975,0.339,"E coli"
-0.862727528317975,0.352,"E coli"
-0.862727528317975,0.581,"P aeruginosa"
-0.862727528317975,0.574,"P aeruginosa"
-0.862727528317975,0.588,"P aeruginosa"
NA,0,NA
-1.33984878303764,0.418,"E coli"
-1.33984878303764,0.353,"E coli"
-1.33984878303764,0.338,"E coli"
-1.33984878303764,0.584,"P aeruginosa"
-1.33984878303764,0.592,"P aeruginosa"
-1.33984878303764,0.582,"P aeruginosa"
NA,0,NA
-1.8169700377573,0.393,"E coli"
-1.8169700377573,0.384,"E coli"
-1.8169700377573,0.354,"E coli"
-1.8169700377573,0.592,"P aeruginosa"
-1.8169700377573,0.588,"P aeruginosa"
-1.8169700377573,0.586,"P aeruginosa"
NA,0,NA
-2.29409129247696,0.387,"E coli"
-2.29409129247696,0.349,"E coli"
-2.29409129247696,0.37,"E coli"
-2.29409129247696,0.592,"P aeruginosa"
-2.29409129247696,0.592,"P aeruginosa"
-2.29409129247696,0.571,"P aeruginosa"
NA,0,NA
-2.77121254719662,0.394,"E coli"
-2.77121254719662,0.373,"E coli"
-2.77121254719662,0.388,"E coli"
-2.77121254719662,0.58,"P aeruginosa"
-2.77121254719662,0.579,"P aeruginosa"
-2.77121254719662,0.578,"P aeruginosa"
NA,0,NA
-Inf,0.435,"E coli"
-Inf,0.392,"E coli"
-Inf,0.378,"E coli"
-Inf,0.602,"P aeruginosa"
-Inf,0.593,"P aeruginosa"
-Inf,0.593,"P aeruginosa"
NA,0,NA
