"concentration","value","compound"
3.69897000433602,0.04,"Blank"
3.69897000433602,0.048,"Ampicillin_PA14 WT"
3.69897000433602,0.051,"Ampicillin_PA14 WT"
3.69897000433602,0.047,"Ampicillin_PA14 WT"
3.39794000867204,0.042,"Blank"
3.39794000867204,0.064,"Ampicillin_PA14 WT"
3.39794000867204,0.068,"Ampicillin_PA14 WT"
3.39794000867204,0.064,"Ampicillin_PA14 WT"
3.09691001300806,0.041,"Blank"
3.09691001300806,0.087,"Ampicillin_PA14 WT"
3.09691001300806,0.087,"Ampicillin_PA14 WT"
3.09691001300806,0.088,"Ampicillin_PA14 WT"
2.79588001734408,0.041,"Blank"
2.79588001734408,0.156,"Ampicillin_PA14 WT"
2.79588001734408,0.171,"Ampicillin_PA14 WT"
2.79588001734408,0.222,"Ampicillin_PA14 WT"
2.49485002168009,0.04,"Blank"
2.49485002168009,0.411,"Ampicillin_PA14 WT"
2.49485002168009,0.579,"Ampicillin_PA14 WT"
2.49485002168009,0.659,"Ampicillin_PA14 WT"
2.19382002601611,0.041,"Blank"
2.19382002601611,0.838,"Ampicillin_PA14 WT"
2.19382002601611,0.77,"Ampicillin_PA14 WT"
2.19382002601611,0.722,"Ampicillin_PA14 WT"
1.89279003035213,0.039,"Blank"
1.89279003035213,0.678,"Ampicillin_PA14 WT"
1.89279003035213,0.644,"Ampicillin_PA14 WT"
1.89279003035213,0.595,"Ampicillin_PA14 WT"
1.59176003468815,0.04,"Blank"
1.59176003468815,0.506,"Ampicillin_PA14 WT"
1.59176003468815,0.526,"Ampicillin_PA14 WT"
1.59176003468815,0.509,"Ampicillin_PA14 WT"
1.29073003902417,0.042,"Blank"
1.29073003902417,0.481,"Ampicillin_PA14 WT"
1.29073003902417,0.478,"Ampicillin_PA14 WT"
1.29073003902417,0.459,"Ampicillin_PA14 WT"
0.989700043360188,0.042,"Blank"
0.989700043360188,0.551,"Ampicillin_PA14 WT"
0.989700043360188,0.524,"Ampicillin_PA14 WT"
0.989700043360188,0.533,"Ampicillin_PA14 WT"
0.688670047696207,0.042,"Blank"
0.688670047696207,0.535,"Ampicillin_PA14 WT"
0.688670047696207,0.516,"Ampicillin_PA14 WT"
0.688670047696207,0.552,"Ampicillin_PA14 WT"
-Inf,0.043,"Blank"
-Inf,0.572,"Ampicillin_PA14 WT"
-Inf,0.562,"Ampicillin_PA14 WT"
-Inf,0.556,"Ampicillin_PA14 WT"
