"concentration","value","compound"
2.8750612633917,0.067,"Novo_BW WT"
2.8750612633917,0.066,"Novo_BW WT"
2.8750612633917,0.068,"Novo_BW WT"
2.8750612633917,0.051,"Novo_BW tolC"
2.8750612633917,0.051,"Novo_BW tolC"
2.8750612633917,0.054,"Novo_BW tolC"
2.8750612633917,0.048,"Blank"
2.57403126772772,0.07,"Novo_BW WT"
2.57403126772772,0.068,"Novo_BW WT"
2.57403126772772,0.073,"Novo_BW WT"
2.57403126772772,0.048,"Novo_BW tolC"
2.57403126772772,0.048,"Novo_BW tolC"
2.57403126772772,0.049,"Novo_BW tolC"
2.57403126772772,0.046,"Blank"
2.27300127206374,0.073,"Novo_BW WT"
2.27300127206374,0.07,"Novo_BW WT"
2.27300127206374,0.068,"Novo_BW WT"
2.27300127206374,0.047,"Novo_BW tolC"
2.27300127206374,0.047,"Novo_BW tolC"
2.27300127206374,0.048,"Novo_BW tolC"
2.27300127206374,0.045,"Blank"
1.97197127639976,0.135,"Novo_BW WT"
1.97197127639976,0.069,"Novo_BW WT"
1.97197127639976,0.074,"Novo_BW WT"
1.97197127639976,0.047,"Novo_BW tolC"
1.97197127639976,0.047,"Novo_BW tolC"
1.97197127639976,0.045,"Novo_BW tolC"
1.97197127639976,0.044,"Blank"
1.67098760301003,0.079,"Novo_BW WT"
1.67098760301003,0.078,"Novo_BW WT"
1.67098760301003,0.073,"Novo_BW WT"
1.67098760301003,0.046,"Novo_BW tolC"
1.67098760301003,0.046,"Novo_BW tolC"
1.67098760301003,0.047,"Novo_BW tolC"
1.67098760301003,0.044,"Blank"
1.36995760734605,0.123,"Novo_BW WT"
1.36995760734605,0.116,"Novo_BW WT"
1.36995760734605,0.113,"Novo_BW WT"
1.36995760734605,0.046,"Novo_BW tolC"
1.36995760734605,0.046,"Novo_BW tolC"
1.36995760734605,0.045,"Novo_BW tolC"
1.36995760734605,0.043,"Blank"
1.06892761168207,0.204,"Novo_BW WT"
1.06892761168207,0.196,"Novo_BW WT"
1.06892761168207,0.223,"Novo_BW WT"
1.06892761168207,0.047,"Novo_BW tolC"
1.06892761168207,0.048,"Novo_BW tolC"
1.06892761168207,0.047,"Novo_BW tolC"
1.06892761168207,0.044,"Blank"
0.767897616018091,0.228,"Novo_BW WT"
0.767897616018091,0.22,"Novo_BW WT"
0.767897616018091,0.228,"Novo_BW WT"
0.767897616018091,0.051,"Novo_BW tolC"
0.767897616018091,0.049,"Novo_BW tolC"
0.767897616018091,0.049,"Novo_BW tolC"
0.767897616018091,0.043,"Blank"
0.466867620354109,0.274,"Novo_BW WT"
0.466867620354109,0.267,"Novo_BW WT"
0.466867620354109,0.271,"Novo_BW WT"
0.466867620354109,0.051,"Novo_BW tolC"
0.466867620354109,0.052,"Novo_BW tolC"
0.466867620354109,0.052,"Novo_BW tolC"
0.466867620354109,0.043,"Blank"
0.164352855784437,0.318,"Novo_BW WT"
0.164352855784437,0.34,"Novo_BW WT"
0.164352855784437,0.336,"Novo_BW WT"
0.164352855784437,0.059,"Novo_BW tolC"
0.164352855784437,0.064,"Novo_BW tolC"
0.164352855784437,0.061,"Novo_BW tolC"
0.164352855784437,0.043,"Blank"
-0.136677139879544,0.278,"Novo_BW WT"
-0.136677139879544,0.298,"Novo_BW WT"
-0.136677139879544,0.282,"Novo_BW WT"
-0.136677139879544,0.075,"Novo_BW tolC"
-0.136677139879544,0.078,"Novo_BW tolC"
-0.136677139879544,0.078,"Novo_BW tolC"
-0.136677139879544,0.043,"Blank"
-Inf,0.279,"Novo_BW WT"
-Inf,0.28,"Novo_BW WT"
-Inf,0.283,"Novo_BW WT"
-Inf,0.365,"Novo_BW tolC"
-Inf,0.36,"Novo_BW tolC"
-Inf,0.361,"Novo_BW tolC"
-Inf,0.044,"Blank"
