"concentration","value","compound"
1,0.046,"Cipro_BW WT"
1,0.047,"Cipro_BW WT"
1,0.047,"Cipro_BW WT"
1,0.047,"Cipro_BW tolC"
1,0.045,"Cipro_BW tolC"
1,0.045,"Cipro_BW tolC"
1,0.043,"Blank"
0.522878745280338,0.048,"Cipro_BW WT"
0.522878745280338,0.046,"Cipro_BW WT"
0.522878745280338,0.046,"Cipro_BW WT"
0.522878745280338,0.045,"Cipro_BW tolC"
0.522878745280338,0.044,"Cipro_BW tolC"
0.522878745280338,0.045,"Cipro_BW tolC"
0.522878745280338,0.043,"Blank"
0.0457574905606751,0.05,"Cipro_BW WT"
0.0457574905606751,0.049,"Cipro_BW WT"
0.0457574905606751,0.048,"Cipro_BW WT"
0.0457574905606751,0.045,"Cipro_BW tolC"
0.0457574905606751,0.045,"Cipro_BW tolC"
0.0457574905606751,0.045,"Cipro_BW tolC"
0.0457574905606751,0.044,"Blank"
-0.431363764158987,0.054,"Cipro_BW WT"
-0.431363764158987,0.05,"Cipro_BW WT"
-0.431363764158987,0.047,"Cipro_BW WT"
-0.431363764158987,0.045,"Cipro_BW tolC"
-0.431363764158987,0.045,"Cipro_BW tolC"
-0.431363764158987,0.045,"Cipro_BW tolC"
-0.431363764158987,0.043,"Blank"
-0.90848501887865,0.056,"Cipro_BW WT"
-0.90848501887865,0.056,"Cipro_BW WT"
-0.90848501887865,0.053,"Cipro_BW WT"
-0.90848501887865,0.046,"Cipro_BW tolC"
-0.90848501887865,0.047,"Cipro_BW tolC"
-0.90848501887865,0.047,"Cipro_BW tolC"
-0.90848501887865,0.043,"Blank"
-1.38560627359831,0.064,"Cipro_BW WT"
-1.38560627359831,0.06,"Cipro_BW WT"
-1.38560627359831,0.055,"Cipro_BW WT"
-1.38560627359831,0.049,"Cipro_BW tolC"
-1.38560627359831,0.049,"Cipro_BW tolC"
-1.38560627359831,0.048,"Cipro_BW tolC"
-1.38560627359831,0.043,"Blank"
-1.86272752831797,0.07,"Cipro_BW WT"
-1.86272752831797,0.067,"Cipro_BW WT"
-1.86272752831797,0.073,"Cipro_BW WT"
-1.86272752831797,0.051,"Cipro_BW tolC"
-1.86272752831797,0.051,"Cipro_BW tolC"
-1.86272752831797,0.05,"Cipro_BW tolC"
-1.86272752831797,0.043,"Blank"
-2.33984878303764,0.356,"Cipro_BW WT"
-2.33984878303764,0.273,"Cipro_BW WT"
-2.33984878303764,0.274,"Cipro_BW WT"
-2.33984878303764,0.057,"Cipro_BW tolC"
-2.33984878303764,0.059,"Cipro_BW tolC"
-2.33984878303764,0.058,"Cipro_BW tolC"
-2.33984878303764,0.044,"Blank"
-2.8169700377573,0.357,"Cipro_BW WT"
-2.8169700377573,0.293,"Cipro_BW WT"
-2.8169700377573,0.275,"Cipro_BW WT"
-2.8169700377573,0.321,"Cipro_BW tolC"
-2.8169700377573,0.298,"Cipro_BW tolC"
-2.8169700377573,0.3,"Cipro_BW tolC"
-2.8169700377573,0.043,"Blank"
-3.29409129247696,0.373,"Cipro_BW WT"
-3.29409129247696,0.296,"Cipro_BW WT"
-3.29409129247696,0.28,"Cipro_BW WT"
-3.29409129247696,0.312,"Cipro_BW tolC"
-3.29409129247696,0.25,"Cipro_BW tolC"
-3.29409129247696,0.275,"Cipro_BW tolC"
-3.29409129247696,0.043,"Blank"
-3.77121254719662,0.414,"Cipro_BW WT"
-3.77121254719662,0.303,"Cipro_BW WT"
-3.77121254719662,0.286,"Cipro_BW WT"
-3.77121254719662,0.363,"Cipro_BW tolC"
-3.77121254719662,0.352,"Cipro_BW tolC"
-3.77121254719662,0.346,"Cipro_BW tolC"
-3.77121254719662,0.044,"Blank"
-4.24833380191629,0.487,"Cipro_BW WT"
-4.24833380191629,0.321,"Cipro_BW WT"
-4.24833380191629,0.3,"Cipro_BW WT"
-4.24833380191629,0.342,"Cipro_BW tolC"
-4.24833380191629,0.365,"Cipro_BW tolC"
-4.24833380191629,0.363,"Cipro_BW tolC"
-4.24833380191629,0.044,"Blank"
