"concentration","value","compound"
0.806179973983887,0.052,"GT3_043_BW WT"
0.806179973983887,0.051,"GT3_043_BW WT"
0.806179973983887,0.05,"GT3_043_BW WT"
0.806179973983887,0.047,"GT3_043_BW tolC"
0.806179973983887,0.048,"GT3_043_BW tolC"
0.806179973983887,0.047,"GT3_043_BW tolC"
0.806179973983887,0.05,"Blank"
0.329058719264225,0.051,"GT3_043_BW WT"
0.329058719264225,0.052,"GT3_043_BW WT"
0.329058719264225,0.051,"GT3_043_BW WT"
0.329058719264225,0.049,"GT3_043_BW tolC"
0.329058719264225,0.049,"GT3_043_BW tolC"
0.329058719264225,0.048,"GT3_043_BW tolC"
0.329058719264225,0.049,"Blank"
-0.148062535455438,0.054,"GT3_043_BW WT"
-0.148062535455438,0.051,"GT3_043_BW WT"
-0.148062535455438,0.053,"GT3_043_BW WT"
-0.148062535455438,0.05,"GT3_043_BW tolC"
-0.148062535455438,0.051,"GT3_043_BW tolC"
-0.148062535455438,0.049,"GT3_043_BW tolC"
-0.148062535455438,0.051,"Blank"
-0.6251837901751,0.058,"GT3_043_BW WT"
-0.6251837901751,0.056,"GT3_043_BW WT"
-0.6251837901751,0.056,"GT3_043_BW WT"
-0.6251837901751,0.048,"GT3_043_BW tolC"
-0.6251837901751,0.051,"GT3_043_BW tolC"
-0.6251837901751,0.049,"GT3_043_BW tolC"
-0.6251837901751,0.049,"Blank"
-1.10230504489476,0.061,"GT3_043_BW WT"
-1.10230504489476,0.061,"GT3_043_BW WT"
-1.10230504489476,0.17,"GT3_043_BW WT"
-1.10230504489476,0.262,"GT3_043_BW tolC"
-1.10230504489476,0.053,"GT3_043_BW tolC"
-1.10230504489476,0.052,"GT3_043_BW tolC"
-1.10230504489476,0.049,"Blank"
-1.57942629961443,0.101,"GT3_043_BW WT"
-1.57942629961443,0.078,"GT3_043_BW WT"
-1.57942629961443,0.074,"GT3_043_BW WT"
-1.57942629961443,0.051,"GT3_043_BW tolC"
-1.57942629961443,0.054,"GT3_043_BW tolC"
-1.57942629961443,0.055,"GT3_043_BW tolC"
-1.57942629961443,0.049,"Blank"
-2.05654755433409,0.389,"GT3_043_BW WT"
-2.05654755433409,0.297,"GT3_043_BW WT"
-2.05654755433409,0.163,"GT3_043_BW WT"
-2.05654755433409,0.065,"GT3_043_BW tolC"
-2.05654755433409,0.066,"GT3_043_BW tolC"
-2.05654755433409,0.062,"GT3_043_BW tolC"
-2.05654755433409,0.049,"Blank"
-2.53366880905375,0.331,"GT3_043_BW WT"
-2.53366880905375,0.288,"GT3_043_BW WT"
-2.53366880905375,0.311,"GT3_043_BW WT"
-2.53366880905375,0.243,"GT3_043_BW tolC"
-2.53366880905375,0.119,"GT3_043_BW tolC"
-2.53366880905375,0.361,"GT3_043_BW tolC"
-2.53366880905375,0.049,"Blank"
-3.01079006377341,0.306,"GT3_043_BW WT"
-3.01079006377341,0.275,"GT3_043_BW WT"
-3.01079006377341,0.275,"GT3_043_BW WT"
-3.01079006377341,0.302,"GT3_043_BW tolC"
-3.01079006377341,0.338,"GT3_043_BW tolC"
-3.01079006377341,0.268,"GT3_043_BW tolC"
-3.01079006377341,0.079,"Blank"
-3.48791131849308,0.333,"GT3_043_BW WT"
-3.48791131849308,0.292,"GT3_043_BW WT"
-3.48791131849308,0.279,"GT3_043_BW WT"
-3.48791131849308,0.399,"GT3_043_BW tolC"
-3.48791131849308,0.388,"GT3_043_BW tolC"
-3.48791131849308,0.342,"GT3_043_BW tolC"
-3.48791131849308,0.048,"Blank"
-3.96503257321274,0.355,"GT3_043_BW WT"
-3.96503257321274,0.302,"GT3_043_BW WT"
-3.96503257321274,0.292,"GT3_043_BW WT"
-3.96503257321274,0.438,"GT3_043_BW tolC"
-3.96503257321274,0.399,"GT3_043_BW tolC"
-3.96503257321274,0.367,"GT3_043_BW tolC"
-3.96503257321274,0.047,"Blank"
-Inf,0.374,"GT3_043_BW WT"
-Inf,0.318,"GT3_043_BW WT"
-Inf,0.307,"GT3_043_BW WT"
-Inf,0.376,"GT3_043_BW tolC"
-Inf,0.368,"GT3_043_BW tolC"
-Inf,0.373,"GT3_043_BW tolC"
-Inf,0.049,"Blank"
