"concentration","value","compound"
-0.494850021680094,0.066,"GT3_043_BW WT"
-0.494850021680094,0.069,"GT3_043_BW WT"
-0.494850021680094,0.066,"GT3_043_BW WT"
-0.494850021680094,0.053,"GT3_043_BW tolC"
-0.494850021680094,0.053,"GT3_043_BW tolC"
-0.494850021680094,0.053,"GT3_043_BW tolC"
-0.494850021680094,0.047,"Blank"
-0.795880017344075,0.072,"GT3_043_BW WT"
-0.795880017344075,0.07,"GT3_043_BW WT"
-0.795880017344075,0.066,"GT3_043_BW WT"
-0.795880017344075,0.101,"GT3_043_BW tolC"
-0.795880017344075,0.055,"GT3_043_BW tolC"
-0.795880017344075,0.099,"GT3_043_BW tolC"
-0.795880017344075,0.045,"Blank"
-1.09691001300806,0.073,"GT3_043_BW WT"
-1.09691001300806,0.071,"GT3_043_BW WT"
-1.09691001300806,0.07,"GT3_043_BW WT"
-1.09691001300806,0.056,"GT3_043_BW tolC"
-1.09691001300806,0.058,"GT3_043_BW tolC"
-1.09691001300806,0.056,"GT3_043_BW tolC"
-1.09691001300806,0.047,"Blank"
-1.39794000867204,0.079,"GT3_043_BW WT"
-1.39794000867204,0.28,"GT3_043_BW WT"
-1.39794000867204,0.076,"GT3_043_BW WT"
-1.39794000867204,0.315,"GT3_043_BW tolC"
-1.39794000867204,0.246,"GT3_043_BW tolC"
-1.39794000867204,0.065,"GT3_043_BW tolC"
-1.39794000867204,0.046,"Blank"
-1.69897000433602,0.341,"GT3_043_BW WT"
-1.69897000433602,0.092,"GT3_043_BW WT"
-1.69897000433602,0.096,"GT3_043_BW WT"
-1.69897000433602,0.259,"GT3_043_BW tolC"
-1.69897000433602,0.363,"GT3_043_BW tolC"
-1.69897000433602,0.309,"GT3_043_BW tolC"
-1.69897000433602,0.051,"Blank"
-2,0.319,"GT3_043_BW WT"
-2,0.306,"GT3_043_BW WT"
-2,0.389,"GT3_043_BW WT"
-2,0.276,"GT3_043_BW tolC"
-2,0.436,"GT3_043_BW tolC"
-2,0.303,"GT3_043_BW tolC"
-2,0.045,"Blank"
-2.30102999566398,0.465,"GT3_043_BW WT"
-2.30102999566398,0.369,"GT3_043_BW WT"
-2.30102999566398,0.366,"GT3_043_BW WT"
-2.30102999566398,0.36,"GT3_043_BW tolC"
-2.30102999566398,0.303,"GT3_043_BW tolC"
-2.30102999566398,0.156,"GT3_043_BW tolC"
-2.30102999566398,0.045,"Blank"
-2.60205999132796,0.316,"GT3_043_BW WT"
-2.60205999132796,0.303,"GT3_043_BW WT"
-2.60205999132796,0.283,"GT3_043_BW WT"
-2.60205999132796,0.277,"GT3_043_BW tolC"
-2.60205999132796,0.277,"GT3_043_BW tolC"
-2.60205999132796,0.292,"GT3_043_BW tolC"
-2.60205999132796,0.045,"Blank"
-2.90308998699194,0.338,"GT3_043_BW WT"
-2.90308998699194,0.304,"GT3_043_BW WT"
-2.90308998699194,0.289,"GT3_043_BW WT"
-2.90308998699194,0.316,"GT3_043_BW tolC"
-2.90308998699194,0.345,"GT3_043_BW tolC"
-2.90308998699194,0.343,"GT3_043_BW tolC"
-2.90308998699194,0.046,"Blank"
-3.20411998265592,0.346,"GT3_043_BW WT"
-3.20411998265592,0.32,"GT3_043_BW WT"
-3.20411998265592,0.306,"GT3_043_BW WT"
-3.20411998265592,0.395,"GT3_043_BW tolC"
-3.20411998265592,0.394,"GT3_043_BW tolC"
-3.20411998265592,0.409,"GT3_043_BW tolC"
-3.20411998265592,0.045,"Blank"
-3.50514997831991,0.355,"GT3_043_BW WT"
-3.50514997831991,0.32,"GT3_043_BW WT"
-3.50514997831991,0.309,"GT3_043_BW WT"
-3.50514997831991,0.386,"GT3_043_BW tolC"
-3.50514997831991,0.404,"GT3_043_BW tolC"
-3.50514997831991,0.385,"GT3_043_BW tolC"
-3.50514997831991,0.045,"Blank"
