"concentration","value","compound"
-0.494850021680094,0.059,"GT3_043_BW WT"
-0.494850021680094,0.058,"GT3_043_BW WT"
-0.494850021680094,0.057,"GT3_043_BW WT"
-0.494850021680094,0.053,"GT3_043_BW tolC"
-0.494850021680094,0.053,"GT3_043_BW tolC"
-0.494850021680094,0.054,"GT3_043_BW tolC"
-0.494850021680094,0.046,"Blank"
-0.795880017344075,0.061,"GT3_043_BW WT"
-0.795880017344075,0.179,"GT3_043_BW WT"
-0.795880017344075,0.059,"GT3_043_BW WT"
-0.795880017344075,0.053,"GT3_043_BW tolC"
-0.795880017344075,0.054,"GT3_043_BW tolC"
-0.795880017344075,0.055,"GT3_043_BW tolC"
-0.795880017344075,0.046,"Blank"
-1.09691001300806,0.065,"GT3_043_BW WT"
-1.09691001300806,0.064,"GT3_043_BW WT"
-1.09691001300806,0.065,"GT3_043_BW WT"
-1.09691001300806,0.055,"GT3_043_BW tolC"
-1.09691001300806,0.054,"GT3_043_BW tolC"
-1.09691001300806,0.258,"GT3_043_BW tolC"
-1.09691001300806,0.047,"Blank"
-1.39794000867204,0.127,"GT3_043_BW WT"
-1.39794000867204,0.08,"GT3_043_BW WT"
-1.39794000867204,0.077,"GT3_043_BW WT"
-1.39794000867204,0.062,"GT3_043_BW tolC"
-1.39794000867204,0.062,"GT3_043_BW tolC"
-1.39794000867204,0.065,"GT3_043_BW tolC"
-1.39794000867204,0.046,"Blank"
-1.69897000433602,0.165,"GT3_043_BW WT"
-1.69897000433602,0.122,"GT3_043_BW WT"
-1.69897000433602,0.176,"GT3_043_BW WT"
-1.69897000433602,0.069,"GT3_043_BW tolC"
-1.69897000433602,0.072,"GT3_043_BW tolC"
-1.69897000433602,0.072,"GT3_043_BW tolC"
-1.69897000433602,0.046,"Blank"
-2,0.265,"GT3_043_BW WT"
-2,0.239,"GT3_043_BW WT"
-2,0.277,"GT3_043_BW WT"
-2,0.177,"GT3_043_BW tolC"
-2,0.131,"GT3_043_BW tolC"
-2,0.139,"GT3_043_BW tolC"
-2,0.046,"Blank"
-2.30102999566398,0.426,"GT3_043_BW WT"
-2.30102999566398,0.405,"GT3_043_BW WT"
-2.30102999566398,0.416,"GT3_043_BW WT"
-2.30102999566398,0.341,"GT3_043_BW tolC"
-2.30102999566398,0.319,"GT3_043_BW tolC"
-2.30102999566398,0.336,"GT3_043_BW tolC"
-2.30102999566398,0.046,"Blank"
-2.60205999132796,0.582,"GT3_043_BW WT"
-2.60205999132796,0.565,"GT3_043_BW WT"
-2.60205999132796,0.603,"GT3_043_BW WT"
-2.60205999132796,0.466,"GT3_043_BW tolC"
-2.60205999132796,0.458,"GT3_043_BW tolC"
-2.60205999132796,0.467,"GT3_043_BW tolC"
-2.60205999132796,0.046,"Blank"
-2.90308998699194,0.536,"GT3_043_BW WT"
-2.90308998699194,0.637,"GT3_043_BW WT"
-2.90308998699194,0.585,"GT3_043_BW WT"
-2.90308998699194,0.424,"GT3_043_BW tolC"
-2.90308998699194,0.434,"GT3_043_BW tolC"
-2.90308998699194,0.438,"GT3_043_BW tolC"
-2.90308998699194,0.047,"Blank"
-3.20411998265592,0.604,"GT3_043_BW WT"
-3.20411998265592,0.587,"GT3_043_BW WT"
-3.20411998265592,0.589,"GT3_043_BW WT"
-3.20411998265592,0.437,"GT3_043_BW tolC"
-3.20411998265592,0.441,"GT3_043_BW tolC"
-3.20411998265592,0.442,"GT3_043_BW tolC"
-3.20411998265592,0.045,"Blank"
-3.50514997831991,0.589,"GT3_043_BW WT"
-3.50514997831991,0.577,"GT3_043_BW WT"
-3.50514997831991,0.576,"GT3_043_BW WT"
-3.50514997831991,0.438,"GT3_043_BW tolC"
-3.50514997831991,0.434,"GT3_043_BW tolC"
-3.50514997831991,0.444,"GT3_043_BW tolC"
-3.50514997831991,0.046,"Blank"
-Inf,0.585,"GT3_043_BW WT"
-Inf,0.59,"GT3_043_BW WT"
-Inf,0.561,"GT3_043_BW WT"
-Inf,0.464,"GT3_043_BW tolC"
-Inf,0.455,"GT3_043_BW tolC"
-Inf,0.478,"GT3_043_BW tolC"
-Inf,0.047,"Blank"
