"concentration","value","compound"
1.69897000433602,0.282,"cccp_PA14 WT"
1.69897000433602,0.281,"cccp_PA14 WT"
1.69897000433602,0.266,"cccp_PA14 WT"
1.69897000433602,0.038,"Blank"
1.22184874961636,0.495,"cccp_PA14 WT"
1.22184874961636,0.48,"cccp_PA14 WT"
1.22184874961636,0.473,"cccp_PA14 WT"
1.22184874961636,0.039,"Blank"
0.744727494896694,0.486,"cccp_PA14 WT"
0.744727494896694,0.474,"cccp_PA14 WT"
0.744727494896694,0.491,"cccp_PA14 WT"
0.744727494896694,0.039,"Blank"
0.267606240177031,0.508,"cccp_PA14 WT"
0.267606240177031,0.505,"cccp_PA14 WT"
0.267606240177031,0.506,"cccp_PA14 WT"
0.267606240177031,0.039,"Blank"
-0.209515014542631,0.526,"cccp_PA14 WT"
-0.209515014542631,0.534,"cccp_PA14 WT"
-0.209515014542631,0.539,"cccp_PA14 WT"
-0.209515014542631,0.038,"Blank"
-0.686636269262293,0.533,"cccp_PA14 WT"
-0.686636269262293,0.528,"cccp_PA14 WT"
-0.686636269262293,0.533,"cccp_PA14 WT"
-0.686636269262293,0.038,"Blank"
-1.16375752398196,0.526,"cccp_PA14 WT"
-1.16375752398196,0.511,"cccp_PA14 WT"
-1.16375752398196,0.525,"cccp_PA14 WT"
-1.16375752398196,0.038,"Blank"
-1.64087877870162,0.528,"cccp_PA14 WT"
-1.64087877870162,0.522,"cccp_PA14 WT"
-1.64087877870162,0.524,"cccp_PA14 WT"
-1.64087877870162,0.038,"Blank"
-2.11800003342128,0.535,"cccp_PA14 WT"
-2.11800003342128,0.528,"cccp_PA14 WT"
-2.11800003342128,0.523,"cccp_PA14 WT"
-2.11800003342128,0.039,"Blank"
-2.59512128814094,0.542,"cccp_PA14 WT"
-2.59512128814094,0.537,"cccp_PA14 WT"
-2.59512128814094,0.521,"cccp_PA14 WT"
-2.59512128814094,0.038,"Blank"
-3.07224254286061,0.526,"cccp_PA14 WT"
-3.07224254286061,0.525,"cccp_PA14 WT"
-3.07224254286061,0.528,"cccp_PA14 WT"
-3.07224254286061,0.038,"Blank"
-Inf,0.534,"cccp_PA14 WT"
-Inf,0.528,"cccp_PA14 WT"
-Inf,0.564,"cccp_PA14 WT"
-Inf,0.04,"Blank"
