"concentration","value","compound"
1.69897000433602,0.041,"Levo_PA14 WT"
1.69897000433602,0.041,"Levo_PA14 WT"
1.69897000433602,0.041,"Levo_PA14 WT"
1.69897000433602,0.039,"Blank"
1.22184874961636,0.041,"Levo_PA14 WT"
1.22184874961636,0.041,"Levo_PA14 WT"
1.22184874961636,0.041,"Levo_PA14 WT"
1.22184874961636,0.038,"Blank"
0.744727494896694,0.041,"Levo_PA14 WT"
0.744727494896694,0.041,"Levo_PA14 WT"
0.744727494896694,0.041,"Levo_PA14 WT"
0.744727494896694,0.038,"Blank"
0.267606240177031,0.042,"Levo_PA14 WT"
0.267606240177031,0.042,"Levo_PA14 WT"
0.267606240177031,0.041,"Levo_PA14 WT"
0.267606240177031,0.04,"Blank"
-0.209515014542631,0.041,"Levo_PA14 WT"
-0.209515014542631,0.041,"Levo_PA14 WT"
-0.209515014542631,0.04,"Levo_PA14 WT"
-0.209515014542631,0.039,"Blank"
-0.686636269262293,0.076,"Levo_PA14 WT"
-0.686636269262293,0.072,"Levo_PA14 WT"
-0.686636269262293,0.068,"Levo_PA14 WT"
-0.686636269262293,0.038,"Blank"
-1.16375752398196,0.332,"Levo_PA14 WT"
-1.16375752398196,0.326,"Levo_PA14 WT"
-1.16375752398196,0.345,"Levo_PA14 WT"
-1.16375752398196,0.039,"Blank"
-1.64087877870162,0.45,"Levo_PA14 WT"
-1.64087877870162,0.457,"Levo_PA14 WT"
-1.64087877870162,0.449,"Levo_PA14 WT"
-1.64087877870162,0.038,"Blank"
-2.11800003342128,0.467,"Levo_PA14 WT"
-2.11800003342128,0.496,"Levo_PA14 WT"
-2.11800003342128,0.461,"Levo_PA14 WT"
-2.11800003342128,0.039,"Blank"
-2.59512128814094,0.484,"Levo_PA14 WT"
-2.59512128814094,0.485,"Levo_PA14 WT"
-2.59512128814094,0.475,"Levo_PA14 WT"
-2.59512128814094,0.038,"Blank"
-3.07224254286061,0.492,"Levo_PA14 WT"
-3.07224254286061,0.5,"Levo_PA14 WT"
-3.07224254286061,0.483,"Levo_PA14 WT"
-3.07224254286061,0.038,"Blank"
-Inf,0.485,"Levo_PA14 WT"
-Inf,0.491,"Levo_PA14 WT"
-Inf,0.475,"Levo_PA14 WT"
-Inf,0.038,"Blank"
