"concentration","value","compound"
3.69897000433602,0.04,"Blank"
3.69897000433602,0.046,"Ampicillin_PA14 WT"
3.69897000433602,0.048,"Ampicillin_PA14 WT"
3.69897000433602,0.045,"Ampicillin_PA14 WT"
3.39794000867204,0.039,"Blank"
3.39794000867204,0.054,"Ampicillin_PA14 WT"
3.39794000867204,0.059,"Ampicillin_PA14 WT"
3.39794000867204,0.056,"Ampicillin_PA14 WT"
3.09691001300806,0.039,"Blank"
3.09691001300806,0.072,"Ampicillin_PA14 WT"
3.09691001300806,0.062,"Ampicillin_PA14 WT"
3.09691001300806,0.061,"Ampicillin_PA14 WT"
2.79588001734408,0.039,"Blank"
2.79588001734408,0.106,"Ampicillin_PA14 WT"
2.79588001734408,0.116,"Ampicillin_PA14 WT"
2.79588001734408,0.117,"Ampicillin_PA14 WT"
2.49485002168009,0.04,"Blank"
2.49485002168009,0.401,"Ampicillin_PA14 WT"
2.49485002168009,0.456,"Ampicillin_PA14 WT"
2.49485002168009,0.483,"Ampicillin_PA14 WT"
2.19382002601611,0.04,"Blank"
2.19382002601611,0.721,"Ampicillin_PA14 WT"
2.19382002601611,0.746,"Ampicillin_PA14 WT"
2.19382002601611,0.73,"Ampicillin_PA14 WT"
1.89279003035213,0.039,"Blank"
1.89279003035213,0.628,"Ampicillin_PA14 WT"
1.89279003035213,0.642,"Ampicillin_PA14 WT"
1.89279003035213,0.599,"Ampicillin_PA14 WT"
1.59176003468815,0.04,"Blank"
1.59176003468815,0.537,"Ampicillin_PA14 WT"
1.59176003468815,0.543,"Ampicillin_PA14 WT"
1.59176003468815,0.53,"Ampicillin_PA14 WT"
1.29073003902417,0.039,"Blank"
1.29073003902417,0.524,"Ampicillin_PA14 WT"
1.29073003902417,0.504,"Ampicillin_PA14 WT"
1.29073003902417,0.523,"Ampicillin_PA14 WT"
0.989700043360188,0.039,"Blank"
0.989700043360188,0.55,"Ampicillin_PA14 WT"
0.989700043360188,0.534,"Ampicillin_PA14 WT"
0.989700043360188,0.531,"Ampicillin_PA14 WT"
0.688670047696207,0.041,"Blank"
0.688670047696207,0.539,"Ampicillin_PA14 WT"
0.688670047696207,0.536,"Ampicillin_PA14 WT"
0.688670047696207,0.544,"Ampicillin_PA14 WT"
-Inf,0.04,"Blank"
-Inf,0.565,"Ampicillin_PA14 WT"
-Inf,0.568,"Ampicillin_PA14 WT"
-Inf,0.547,"Ampicillin_PA14 WT"
