"concentration","value","compound"
3.69897000433602,0.041,"carb_PA14 WT"
3.69897000433602,0.042,"carb_PA14 WT"
3.69897000433602,0.042,"carb_PA14 WT"
3.69897000433602,0.04,"Blank"
3.39794000867204,0.042,"carb_PA14 WT"
3.39794000867204,0.042,"carb_PA14 WT"
3.39794000867204,0.042,"carb_PA14 WT"
3.39794000867204,0.04,"Blank"
3.09691001300806,0.05,"carb_PA14 WT"
3.09691001300806,0.057,"carb_PA14 WT"
3.09691001300806,0.055,"carb_PA14 WT"
3.09691001300806,0.04,"Blank"
2.79588001734408,0.059,"carb_PA14 WT"
2.79588001734408,0.063,"carb_PA14 WT"
2.79588001734408,0.093,"carb_PA14 WT"
2.79588001734408,0.041,"Blank"
2.49485002168009,0.098,"carb_PA14 WT"
2.49485002168009,0.105,"carb_PA14 WT"
2.49485002168009,0.105,"carb_PA14 WT"
2.49485002168009,0.04,"Blank"
2.19382002601611,0.227,"carb_PA14 WT"
2.19382002601611,0.622,"carb_PA14 WT"
2.19382002601611,0.179,"carb_PA14 WT"
2.19382002601611,0.04,"Blank"
1.89279003035213,0.931,"carb_PA14 WT"
1.89279003035213,0.938,"carb_PA14 WT"
1.89279003035213,0.821,"carb_PA14 WT"
1.89279003035213,0.04,"Blank"
1.59176003468815,0.626,"carb_PA14 WT"
1.59176003468815,0.629,"carb_PA14 WT"
1.59176003468815,0.643,"carb_PA14 WT"
1.59176003468815,0.04,"Blank"
1.29073003902417,0.547,"carb_PA14 WT"
1.29073003902417,0.564,"carb_PA14 WT"
1.29073003902417,0.56,"carb_PA14 WT"
1.29073003902417,0.04,"Blank"
0.989700043360188,0.526,"carb_PA14 WT"
0.989700043360188,0.538,"carb_PA14 WT"
0.989700043360188,0.521,"carb_PA14 WT"
0.989700043360188,0.04,"Blank"
0.688670047696207,0.547,"carb_PA14 WT"
0.688670047696207,0.537,"carb_PA14 WT"
0.688670047696207,0.538,"carb_PA14 WT"
0.688670047696207,0.04,"Blank"
-Inf,0.557,"carb_PA14 WT"
-Inf,0.572,"carb_PA14 WT"
-Inf,0.581,"carb_PA14 WT"
-Inf,0.043,"Blank"
