"concentration","value","compound"
3.69897000433602,0.041,"carb_PA14 WT"
3.69897000433602,0.042,"carb_PA14 WT"
3.69897000433602,0.041,"carb_PA14 WT"
3.69897000433602,0.041,"Blank"
3.39794000867204,0.042,"carb_PA14 WT"
3.39794000867204,0.042,"carb_PA14 WT"
3.39794000867204,0.042,"carb_PA14 WT"
3.39794000867204,0.041,"Blank"
3.09691001300806,0.058,"carb_PA14 WT"
3.09691001300806,0.08,"carb_PA14 WT"
3.09691001300806,0.074,"carb_PA14 WT"
3.09691001300806,0.04,"Blank"
2.79588001734408,0.087,"carb_PA14 WT"
2.79588001734408,0.109,"carb_PA14 WT"
2.79588001734408,0.114,"carb_PA14 WT"
2.79588001734408,0.041,"Blank"
2.49485002168009,0.089,"carb_PA14 WT"
2.49485002168009,0.135,"carb_PA14 WT"
2.49485002168009,0.122,"carb_PA14 WT"
2.49485002168009,0.04,"Blank"
2.19382002601611,0.245,"carb_PA14 WT"
2.19382002601611,0.582,"carb_PA14 WT"
2.19382002601611,0.215,"carb_PA14 WT"
2.19382002601611,0.04,"Blank"
1.89279003035213,0.707,"carb_PA14 WT"
1.89279003035213,0.71,"carb_PA14 WT"
1.89279003035213,0.683,"carb_PA14 WT"
1.89279003035213,0.04,"Blank"
1.59176003468815,0.638,"carb_PA14 WT"
1.59176003468815,0.62,"carb_PA14 WT"
1.59176003468815,0.652,"carb_PA14 WT"
1.59176003468815,0.039,"Blank"
1.29073003902417,0.539,"carb_PA14 WT"
1.29073003902417,0.571,"carb_PA14 WT"
1.29073003902417,0.556,"carb_PA14 WT"
1.29073003902417,0.04,"Blank"
0.989700043360188,0.52,"carb_PA14 WT"
0.989700043360188,0.525,"carb_PA14 WT"
0.989700043360188,0.513,"carb_PA14 WT"
0.989700043360188,0.04,"Blank"
0.688670047696207,0.534,"carb_PA14 WT"
0.688670047696207,0.514,"carb_PA14 WT"
0.688670047696207,0.505,"carb_PA14 WT"
0.688670047696207,0.04,"Blank"
-Inf,0.522,"carb_PA14 WT"
-Inf,0.54,"carb_PA14 WT"
-Inf,0.522,"carb_PA14 WT"
-Inf,0.043,"Blank"
