"concentration","value","compound"
0.806179973983887,0.052,"Tobramycin_BW WT"
0.806179973983887,0.051,"Tobramycin_BW WT"
0.806179973983887,0.051,"Tobramycin_BW WT"
0.806179973983887,0.052,"Tobramycin_BW tolC"
0.806179973983887,0.052,"Tobramycin_BW tolC"
0.806179973983887,0.053,"Tobramycin_BW tolC"
0.806179973983887,0.051,"Blank"
0.329058719264225,0.052,"Tobramycin_BW WT"
0.329058719264225,0.051,"Tobramycin_BW WT"
0.329058719264225,0.051,"Tobramycin_BW WT"
0.329058719264225,0.053,"Tobramycin_BW tolC"
0.329058719264225,0.053,"Tobramycin_BW tolC"
0.329058719264225,0.054,"Tobramycin_BW tolC"
0.329058719264225,0.051,"Blank"
-0.148062535455438,0.122,"Tobramycin_BW WT"
-0.148062535455438,0.13,"Tobramycin_BW WT"
-0.148062535455438,0.092,"Tobramycin_BW WT"
-0.148062535455438,0.162,"Tobramycin_BW tolC"
-0.148062535455438,0.169,"Tobramycin_BW tolC"
-0.148062535455438,0.17,"Tobramycin_BW tolC"
-0.148062535455438,0.052,"Blank"
-0.6251837901751,0.295,"Tobramycin_BW WT"
-0.6251837901751,0.256,"Tobramycin_BW WT"
-0.6251837901751,0.244,"Tobramycin_BW WT"
-0.6251837901751,0.476,"Tobramycin_BW tolC"
-0.6251837901751,0.539,"Tobramycin_BW tolC"
-0.6251837901751,0.489,"Tobramycin_BW tolC"
-0.6251837901751,0.052,"Blank"
-1.10230504489476,1.102,"Tobramycin_BW WT"
-1.10230504489476,0.709,"Tobramycin_BW WT"
-1.10230504489476,0.554,"Tobramycin_BW WT"
-1.10230504489476,0.519,"Tobramycin_BW tolC"
-1.10230504489476,0.518,"Tobramycin_BW tolC"
-1.10230504489476,0.49,"Tobramycin_BW tolC"
-1.10230504489476,0.051,"Blank"
-1.57942629961443,0.506,"Tobramycin_BW WT"
-1.57942629961443,0.492,"Tobramycin_BW WT"
-1.57942629961443,0.52,"Tobramycin_BW WT"
-1.57942629961443,0.461,"Tobramycin_BW tolC"
-1.57942629961443,0.471,"Tobramycin_BW tolC"
-1.57942629961443,0.473,"Tobramycin_BW tolC"
-1.57942629961443,0.051,"Blank"
-2.05654755433409,0.491,"Tobramycin_BW WT"
-2.05654755433409,0.499,"Tobramycin_BW WT"
-2.05654755433409,0.491,"Tobramycin_BW WT"
-2.05654755433409,0.478,"Tobramycin_BW tolC"
-2.05654755433409,0.479,"Tobramycin_BW tolC"
-2.05654755433409,0.472,"Tobramycin_BW tolC"
-2.05654755433409,0.051,"Blank"
-2.53366880905375,0.507,"Tobramycin_BW WT"
-2.53366880905375,0.51,"Tobramycin_BW WT"
-2.53366880905375,0.515,"Tobramycin_BW WT"
-2.53366880905375,0.458,"Tobramycin_BW tolC"
-2.53366880905375,0.464,"Tobramycin_BW tolC"
-2.53366880905375,0.473,"Tobramycin_BW tolC"
-2.53366880905375,0.053,"Blank"
-3.01079006377341,0.511,"Tobramycin_BW WT"
-3.01079006377341,0.49,"Tobramycin_BW WT"
-3.01079006377341,0.503,"Tobramycin_BW WT"
-3.01079006377341,0.474,"Tobramycin_BW tolC"
-3.01079006377341,0.474,"Tobramycin_BW tolC"
-3.01079006377341,0.478,"Tobramycin_BW tolC"
-3.01079006377341,0.052,"Blank"
-3.48791131849308,0.492,"Tobramycin_BW WT"
-3.48791131849308,0.498,"Tobramycin_BW WT"
-3.48791131849308,0.501,"Tobramycin_BW WT"
-3.48791131849308,0.475,"Tobramycin_BW tolC"
-3.48791131849308,0.464,"Tobramycin_BW tolC"
-3.48791131849308,0.485,"Tobramycin_BW tolC"
-3.48791131849308,0.05,"Blank"
-3.96503257321274,0.493,"Tobramycin_BW WT"
-3.96503257321274,0.531,"Tobramycin_BW WT"
-3.96503257321274,0.487,"Tobramycin_BW WT"
-3.96503257321274,0.489,"Tobramycin_BW tolC"
-3.96503257321274,0.474,"Tobramycin_BW tolC"
-3.96503257321274,0.475,"Tobramycin_BW tolC"
-3.96503257321274,0.051,"Blank"
-Inf,0.502,"Tobramycin_BW WT"
-Inf,0.489,"Tobramycin_BW WT"
-Inf,0.505,"Tobramycin_BW WT"
-Inf,0.496,"Tobramycin_BW tolC"
-Inf,0.475,"Tobramycin_BW tolC"
-Inf,0.511,"Tobramycin_BW tolC"
-Inf,0.052,"Blank"
