"concentration","value","compound"
1.69897000433602,0.925,"GT4_181_PAO1 WT"
1.69897000433602,0.828,"GT4_181_PAO1 WT"
1.69897000433602,0.93,"GT4_181_PAO1 WT"
1.69897000433602,0.044,"Blank"
1.39794000867204,0.85,"GT4_181_PAO1 WT"
1.39794000867204,0.807,"GT4_181_PAO1 WT"
1.39794000867204,0.822,"GT4_181_PAO1 WT"
1.39794000867204,0.045,"Blank"
1.09691001300806,0.69,"GT4_181_PAO1 WT"
1.09691001300806,0.65,"GT4_181_PAO1 WT"
1.09691001300806,0.733,"GT4_181_PAO1 WT"
1.09691001300806,0.042,"Blank"
0.795880017344075,0.991,"GT4_181_PAO1 WT"
0.795880017344075,0.924,"GT4_181_PAO1 WT"
0.795880017344075,0.926,"GT4_181_PAO1 WT"
0.795880017344075,0.042,"Blank"
0.494850021680094,0.524,"GT4_181_PAO1 WT"
0.494850021680094,0.73,"GT4_181_PAO1 WT"
0.494850021680094,0.565,"GT4_181_PAO1 WT"
0.494850021680094,0.04,"Blank"
0.193820026016113,0.701,"GT4_181_PAO1 WT"
0.193820026016113,0.698,"GT4_181_PAO1 WT"
0.193820026016113,0.743,"GT4_181_PAO1 WT"
0.193820026016113,0.039,"Blank"
-0.107209969647868,0.869,"GT4_181_PAO1 WT"
-0.107209969647868,0.829,"GT4_181_PAO1 WT"
-0.107209969647868,0.887,"GT4_181_PAO1 WT"
-0.107209969647868,0.039,"Blank"
-0.40823996531185,0.888,"GT4_181_PAO1 WT"
-0.40823996531185,0.877,"GT4_181_PAO1 WT"
-0.40823996531185,0.908,"GT4_181_PAO1 WT"
-0.40823996531185,0.041,"Blank"
-0.709269960975831,0.933,"GT4_181_PAO1 WT"
-0.709269960975831,0.895,"GT4_181_PAO1 WT"
-0.709269960975831,0.915,"GT4_181_PAO1 WT"
-0.709269960975831,0.04,"Blank"
-1.01029995663981,0.921,"GT4_181_PAO1 WT"
-1.01029995663981,0.916,"GT4_181_PAO1 WT"
-1.01029995663981,0.966,"GT4_181_PAO1 WT"
-1.01029995663981,0.04,"Blank"
-1.31132995230379,0.938,"GT4_181_PAO1 WT"
-1.31132995230379,0.94,"GT4_181_PAO1 WT"
-1.31132995230379,0.977,"GT4_181_PAO1 WT"
-1.31132995230379,0.04,"Blank"
-Inf,0.98,"GT4_181_PAO1 WT"
-Inf,0.971,"GT4_181_PAO1 WT"
-Inf,0.972,"GT4_181_PAO1 WT"
-Inf,0.04,"Blank"
