"concentration","value","compound"
1,0.05,"BW WT -Glc"
1,0.05,"BW WT -Glc"
1,0.05,"BW WT -Glc"
1,0.048,"BW tolC -Glc"
1,0.048,"BW tolC -Glc"
1,0.049,"BW tolC -Glc"
1,0.044,"Blank -Glc"
0.522878745280338,0.053,"BW WT -Glc"
0.522878745280338,0.051,"BW WT -Glc"
0.522878745280338,0.052,"BW WT -Glc"
0.522878745280338,0.048,"BW tolC -Glc"
0.522878745280338,0.048,"BW tolC -Glc"
0.522878745280338,0.048,"BW tolC -Glc"
0.522878745280337,0.044,"Blank -Glc"
0.0457574905606751,0.057,"BW WT -Glc"
0.0457574905606751,0.058,"BW WT -Glc"
0.0457574905606751,0.058,"BW WT -Glc"
0.0457574905606751,0.05,"BW tolC -Glc"
0.0457574905606751,0.049,"BW tolC -Glc"
0.0457574905606751,0.049,"BW tolC -Glc"
0.0457574905606747,0.043,"Blank -Glc"
-0.431363764158987,0.061,"BW WT -Glc"
-0.431363764158987,0.063,"BW WT -Glc"
-0.431363764158987,0.062,"BW WT -Glc"
-0.431363764158987,0.054,"BW tolC -Glc"
-0.431363764158987,0.054,"BW tolC -Glc"
-0.431363764158987,0.054,"BW tolC -Glc"
-0.431363764158988,0.044,"Blank -Glc"
-0.90848501887865,0.065,"BW WT -Glc"
-0.90848501887865,0.067,"BW WT -Glc"
-0.90848501887865,0.3,"BW WT -Glc"
-0.90848501887865,0.061,"BW tolC -Glc"
-0.90848501887865,0.059,"BW tolC -Glc"
-0.90848501887865,0.058,"BW tolC -Glc"
-0.908485018878649,0.043,"Blank -Glc"
-1.38560627359831,0.118,"BW WT -Glc"
-1.38560627359831,0.125,"BW WT -Glc"
-1.38560627359831,0.123,"BW WT -Glc"
-1.38560627359831,0.067,"BW tolC -Glc"
-1.38560627359831,0.064,"BW tolC -Glc"
-1.38560627359831,0.061,"BW tolC -Glc"
-1.38560627359831,0.043,"Blank -Glc"
-1.86272752831797,0.346,"BW WT -Glc"
-1.86272752831797,0.272,"BW WT -Glc"
-1.86272752831797,0.279,"BW WT -Glc"
-1.86272752831797,0.275,"BW tolC -Glc"
-1.86272752831797,0.092,"BW tolC -Glc"
-1.86272752831797,0.083,"BW tolC -Glc"
-1.86272752831798,0.043,"Blank -Glc"
-2.33984878303764,0.341,"BW WT -Glc"
-2.33984878303764,0.342,"BW WT -Glc"
-2.33984878303764,0.34,"BW WT -Glc"
-2.33984878303764,0.361,"BW tolC -Glc"
-2.33984878303764,0.368,"BW tolC -Glc"
-2.33984878303764,0.36,"BW tolC -Glc"
-2.33984878303764,0.043,"Blank -Glc"
-2.8169700377573,0.322,"BW WT -Glc"
-2.8169700377573,0.326,"BW WT -Glc"
-2.8169700377573,0.333,"BW WT -Glc"
-2.8169700377573,0.387,"BW tolC -Glc"
-2.8169700377573,0.388,"BW tolC -Glc"
-2.8169700377573,0.395,"BW tolC -Glc"
-2.8169700377573,0.045,"Blank -Glc"
-3.29409129247696,0.33,"BW WT -Glc"
-3.29409129247696,0.329,"BW WT -Glc"
-3.29409129247696,0.329,"BW WT -Glc"
-3.29409129247696,0.365,"BW tolC -Glc"
-3.29409129247696,0.363,"BW tolC -Glc"
-3.29409129247696,0.337,"BW tolC -Glc"
-3.29409129247696,0.043,"Blank -Glc"
-3.77121254719662,0.348,"BW WT -Glc"
-3.77121254719662,0.329,"BW WT -Glc"
-3.77121254719662,0.331,"BW WT -Glc"
-3.77121254719662,0.373,"BW tolC -Glc"
-3.77121254719662,0.362,"BW tolC -Glc"
-3.77121254719662,0.335,"BW tolC -Glc"
-3.77121254719662,0.043,"Blank -Glc"
-Inf,0.364,"BW WT -Glc"
-Inf,0.331,"BW WT -Glc"
-Inf,0.318,"BW WT -Glc"
-Inf,0.382,"BW tolC -Glc"
-Inf,0.372,"BW tolC -Glc"
-Inf,0.377,"BW tolC -Glc"
-Inf,0.044,"Blank -Glc"
