"concentration","value","compound"
1,0.427,"BW WT"
1,0.473,"BW WT"
1,0.423,"BW WT"
1,0.048,"BW tolC"
1,0.045,"BW tolC"
1,0.048,"BW tolC"
1,0.072,"Blank"
0.522878745280338,0.493,"BW WT"
0.522878745280338,0.568,"BW WT"
0.522878745280338,0.494,"BW WT"
0.522878745280338,0.053,"BW tolC"
0.522878745280338,0.047,"BW tolC"
0.522878745280338,0.048,"BW tolC"
0.522878745280337,0.054,"Blank"
0.0457574905606751,0.442,"BW WT"
0.0457574905606751,0.425,"BW WT"
0.0457574905606751,0.499,"BW WT"
0.0457574905606751,0.06,"BW tolC"
0.0457574905606751,0.055,"BW tolC"
0.0457574905606751,0.059,"BW tolC"
0.0457574905606747,0.048,"Blank"
-0.431363764158987,0.415,"BW WT"
-0.431363764158987,0.461,"BW WT"
-0.431363764158987,0.535,"BW WT"
-0.431363764158987,0.664,"BW tolC"
-0.431363764158987,0.603,"BW tolC"
-0.431363764158987,0.562,"BW tolC"
-0.431363764158988,0.048,"Blank"
-0.90848501887865,0.482,"BW WT"
-0.90848501887865,0.451,"BW WT"
-0.90848501887865,0.461,"BW WT"
-0.90848501887865,0.574,"BW tolC"
-0.90848501887865,0.54,"BW tolC"
-0.90848501887865,0.5,"BW tolC"
-0.908485018878649,0.046,"Blank"
-1.38560627359831,0.442,"BW WT"
-1.38560627359831,0.46,"BW WT"
-1.38560627359831,0.562,"BW WT"
-1.38560627359831,0.617,"BW tolC"
-1.38560627359831,0.563,"BW tolC"
-1.38560627359831,0.508,"BW tolC"
-1.38560627359831,0.046,"Blank"
-1.86272752831797,0.493,"BW WT"
-1.86272752831797,0.514,"BW WT"
-1.86272752831797,0.548,"BW WT"
-1.86272752831797,0.584,"BW tolC"
-1.86272752831797,0.59,"BW tolC"
-1.86272752831797,0.55,"BW tolC"
-1.86272752831798,0.046,"Blank"
-2.33984878303764,0.448,"BW WT"
-2.33984878303764,0.507,"BW WT"
-2.33984878303764,0.549,"BW WT"
-2.33984878303764,0.57,"BW tolC"
-2.33984878303764,0.569,"BW tolC"
-2.33984878303764,0.544,"BW tolC"
-2.33984878303764,0.046,"Blank"
-2.8169700377573,0.494,"BW WT"
-2.8169700377573,0.546,"BW WT"
-2.8169700377573,0.639,"BW WT"
-2.8169700377573,0.591,"BW tolC"
-2.8169700377573,0.521,"BW tolC"
-2.8169700377573,0.536,"BW tolC"
-2.8169700377573,0.048,"Blank"
-3.29409129247696,0.452,"BW WT"
-3.29409129247696,0.481,"BW WT"
-3.29409129247696,0.578,"BW WT"
-3.29409129247696,0.572,"BW tolC"
-3.29409129247696,0.526,"BW tolC"
-3.29409129247696,0.528,"BW tolC"
-3.29409129247696,0.046,"Blank"
-3.77121254719662,0.458,"BW WT"
-3.77121254719662,0.467,"BW WT"
-3.77121254719662,0.581,"BW WT"
-3.77121254719662,0.562,"BW tolC"
-3.77121254719662,0.505,"BW tolC"
-3.77121254719662,0.524,"BW tolC"
-3.77121254719662,0.046,"Blank"
-Inf,0.461,"BW WT"
-Inf,0.52,"BW WT"
-Inf,0.516,"BW WT"
-Inf,0.494,"BW tolC"
-Inf,0.477,"BW tolC"
-Inf,0.556,"BW tolC"
-Inf,0.048,"Blank"
