"concentration","value","compound"
2,0.772,"c1"
2,0.805,"c1"
1.69897000433602,0.834,"c1"
1.69897000433602,0.923,"c1"
1.39794000867204,0.831,"c1"
1.39794000867204,0.833,"c1"
1.09691001300806,0.821,"c1"
1.09691001300806,0.813,"c1"
0.795880017344075,1.174,"c1"
0.795880017344075,0.996,"c1"
0.494850021680094,1.247,"c1"
0.494850021680094,0.812,"c1"
0.193820026016113,0.811,"c1"
0.193820026016113,0.831,"c1"
-0.107209969647868,0.822,"c1"
-0.107209969647868,0.815,"c1"
-0.40823996531185,0.809,"c1"
-0.40823996531185,0.818,"c1"
-0.709269960975831,0.817,"c1"
-0.709269960975831,1.049,"c1"
-Inf,0.141,"Blank"
-Inf,0.179,"Blank"
