"concentration","value","compound"
-0.153662887870195,100,"WK12"
-0.1444808443322,100,"WK12"
-0.127843727251707,50,"WK12"
-0.1249387366083,50,"WK12"
-0.127261172527331,25,"WK12"
-0.122628654130226,25,"WK12"
-0.124360062995832,12.5,"WK12"
-0.116338564846382,12.5,"WK12"
-0.109020403010311,6.25,"WK12"
-0.101274818410506,6.25,"WK12"
-0.0909791457888439,3.125,"WK12"
-0.0931264652779296,3.125,"WK12"
-0.0840727883028842,1.5625,"WK12"
-0.0835460514500749,1.5625,"WK12"
-0.0846001647877302,0.78125,"WK12"
-0.0830199526796178,0.78125,"WK12"
-0.0741724253752577,0.390625,"WK12"
-0.0746879085003505,0.390625,"WK12"
0.0472748673841795,0.1953125,"WK12"
0.107209969647868,0.1953125,"WK12"
-0.772113295386326,0,"Blank"
-0.698970004336019,0,"Blank"
