"concentration","value","compound"
-1.08618614761628,100,"Cipro"
-1.01322826573376,100,"Cipro"
-1.20065945054642,50,"Cipro"
-1.14266750356873,50,"Cipro"
-1.22914798835786,25,"Cipro"
-1.18708664335714,25,"Cipro"
-1.10790539730952,12.5,"Cipro"
-1.09691001300806,12.5,"Cipro"
-1.21467016498923,6.25,"Cipro"
-1.18045606445813,6.25,"Cipro"
-1.18045606445813,3.125,"Cipro"
-1.00877392430751,3.125,"Cipro"
-0.160521952625802,1.5625,"Cipro"
-0.1438755557577,1.5625,"Cipro"
-0.0942041196321315,0.78125,"Cipro"
-0.109020403010311,0.78125,"Cipro"
-0.131355561605174,0.390625,"Cipro"
-0.101823516502323,0.390625,"Cipro"
-0.051587034221399,0.1953125,"Cipro"
-0.0467236633326956,0.1953125,"Cipro"
-0.742321425130815,0,"Blank"
-0.667561540084395,0,"Blank"
