"concentration","value","compound"
2,0.082,"Cipro"
2,0.097,"Cipro"
1.69897000433602,0.063,"Cipro"
1.69897000433602,0.072,"Cipro"
1.39794000867204,0.059,"Cipro"
1.39794000867204,0.065,"Cipro"
1.09691001300806,0.078,"Cipro"
1.09691001300806,0.08,"Cipro"
0.795880017344075,0.061,"Cipro"
0.795880017344075,0.066,"Cipro"
0.494850021680094,0.066,"Cipro"
0.494850021680094,0.098,"Cipro"
0.193820026016113,0.691,"Cipro"
0.193820026016113,0.718,"Cipro"
-0.107209969647868,0.805,"Cipro"
-0.107209969647868,0.778,"Cipro"
-0.40823996531185,0.739,"Cipro"
-0.40823996531185,0.791,"Cipro"
-0.709269960975831,0.888,"Cipro"
-0.709269960975831,0.898,"Cipro"
-Inf,0.181,"Blank"
-Inf,0.215,"Blank"
