"concentration","value","compound"
2,0.733,"WK12"
2,0.749,"WK12"
1.69897000433602,0.788,"WK12"
1.69897000433602,0.814,"WK12"
1.39794000867204,0.818,"WK12"
1.39794000867204,0.825,"WK12"
1.09691001300806,0.803,"WK12"
1.09691001300806,0.818,"WK12"
0.795880017344075,1.148,"WK12"
0.795880017344075,0.827,"WK12"
0.494850021680094,0.801,"WK12"
0.494850021680094,0.814,"WK12"
0.193820026016113,0.811,"WK12"
0.193820026016113,0.808,"WK12"
-0.107209969647868,0.818,"WK12"
-0.107209969647868,0.81,"WK12"
-0.40823996531185,1.238,"WK12"
-0.40823996531185,0.838,"WK12"
-0.709269960975831,0.817,"WK12"
-0.709269960975831,1.117,"WK12"
-Inf,0.158,"Blank"
-Inf,0.195,"Blank"
