"concentration","value","compound"
2,0.702,"Cipro"
2,0.717,"Cipro"
1.69897000433602,0.745,"Cipro"
1.69897000433602,0.75,"Cipro"
1.39794000867204,0.746,"Cipro"
1.39794000867204,0.754,"Cipro"
1.09691001300806,0.751,"Cipro"
1.09691001300806,0.765,"Cipro"
0.795880017344075,0.778,"Cipro"
0.795880017344075,0.792,"Cipro"
0.494850021680094,0.811,"Cipro"
0.494850021680094,0.807,"Cipro"
0.193820026016113,0.824,"Cipro"
0.193820026016113,0.825,"Cipro"
-0.107209969647868,0.823,"Cipro"
-0.107209969647868,0.826,"Cipro"
-0.40823996531185,0.843,"Cipro"
-0.40823996531185,0.842,"Cipro"
-0.709269960975831,1.115,"Cipro"
-0.709269960975831,1.28,"Cipro"
-Inf,0.169,"Blank"
-Inf,0.2,"Blank"
