"concentration","value","compound"
2,0.097,"blank"
2,0.14,"DSM Neo"
2,0.154,"DSM Neo"
2,0.14,"DSM Neo"
1.69897000433602,0.097,"blank"
1.69897000433602,0.14,"DSM Neo"
1.69897000433602,0.152,"DSM Neo"
1.69897000433602,0.158,"DSM Neo"
1.39794000867204,0.096,"blank"
1.39794000867204,0.146,"DSM Neo"
1.39794000867204,0.153,"DSM Neo"
1.39794000867204,0.154,"DSM Neo"
1.09691001300806,0.096,"blank"
1.09691001300806,0.317,"DSM Neo"
1.09691001300806,0.244,"DSM Neo"
1.09691001300806,0.316,"DSM Neo"
0.795880017344075,0.099,"blank"
0.795880017344075,0.51,"DSM Neo"
0.795880017344075,0.468,"DSM Neo"
0.795880017344075,0.505,"DSM Neo"
0.494850021680094,0.095,"blank"
0.494850021680094,0.569,"DSM Neo"
0.494850021680094,0.594,"DSM Neo"
0.494850021680094,0.574,"DSM Neo"
0.193820026016113,0.096,"blank"
0.193820026016113,0.59,"DSM Neo"
0.193820026016113,0.57,"DSM Neo"
0.193820026016113,0.564,"DSM Neo"
-0.107209969647868,0.097,"blank"
-0.107209969647868,0.577,"DSM Neo"
-0.107209969647868,0.573,"DSM Neo"
-0.107209969647868,0.582,"DSM Neo"
-0.40823996531185,0.096,"blank"
-0.40823996531185,0.569,"DSM Neo"
-0.40823996531185,0.569,"DSM Neo"
-0.40823996531185,0.566,"DSM Neo"
-0.709269960975831,0.156,"blank"
-0.709269960975831,0.559,"DSM Neo"
-0.709269960975831,0.582,"DSM Neo"
-0.709269960975831,0.558,"DSM Neo"
-1.01029995663981,0.096,"blank"
-1.01029995663981,0.573,"DSM Neo"
-1.01029995663981,0.56,"DSM Neo"
-1.01029995663981,0.58,"DSM Neo"
-1.31132995230379,0.102,"blank"
-1.31132995230379,0.546,"DSM Neo"
-1.31132995230379,0.563,"DSM Neo"
-1.31132995230379,0.552,"DSM Neo"
