"concentration","value","compound"
2,0.52,"C9 (IS84)"
2,0.402,"C9 (IS84)"
1.69897000433602,0.669,"C9 (IS84)"
1.69897000433602,0.652,"C9 (IS84)"
1.39794000867204,0.666,"C9 (IS84)"
1.39794000867204,0.689,"C9 (IS84)"
1.09691001300806,0.715,"C9 (IS84)"
1.09691001300806,0.73,"C9 (IS84)"
0.795880017344075,0.732,"C9 (IS84)"
0.795880017344075,0.752,"C9 (IS84)"
0.494850021680094,0.741,"C9 (IS84)"
0.494850021680094,0.749,"C9 (IS84)"
0.193820026016113,0.792,"C9 (IS84)"
0.193820026016113,0.773,"C9 (IS84)"
-0.107209969647868,0.726,"C9 (IS84)"
-0.107209969647868,0.769,"C9 (IS84)"
-0.40823996531185,0.752,"C9 (IS84)"
-0.40823996531185,0.805,"C9 (IS84)"
-0.709269960975831,1.016,"C9 (IS84)"
-0.709269960975831,0.77,"C9 (IS84)"
-Inf,0.136,"Blank"
-Inf,0.17,"Blank"
